Time,E_cadherin,Foxo3a,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_mTOR,vimentin
0,1,1,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1.2,0,0,0,0,0,0
10,1.785332345245904,0.9999782696995645,2.76441418576635e-05,7.184222106419476e-05,0.1,8.114062318556824,1.875677612292096,0.001193808294194069,0.01026006915109732,5.579342148474116e-05,9.988896359072141,0.01110364092786729,5.118608259831637e-05,0.02137645972051119,4.989319196073673,0.0001384370802525752,0.9997734957266921,0.0001753181906756612,0.003884173289692807,1.2,2.716287083724863e-05,0.000595950887115067,2.716287083724863e-05,2.716287083724863e-05,3.511844578320618e-06,0.0006714133979543079
20,2.257913363658691,0.9998118020932867,9.381667021429418e-05,0.0002278670514792568,0.1,6.263392951050974,3.71037112764772,0.002625489335955404,0.02623592130134694,0.0001342933314079233,9.970331933899271,0.02966806610074293,0.000205172025004071,0.03541936385836454,4.972606076769085,0.0003190598086566569,0.9992953512106948,0.0004994767642544726,0.007040503534579533,1.2,0.0001259760100104573,0.001354040997655971,0.0001259760100104555,0.0001259760100104573,1.691944371922774e-05,0.001599552393721218
30,2.539086530941413,0.9993609291150297,0.0002194504628373866,0.0005242415726185694,0.1,4.465129785295428,5.484814587095411,0.004054084250367464,0.05005562760951268,0.0002242077021805033,9.951279562800661,0.04872043719935449,0.000429756280422371,0.05997683419484921,4.947371510098757,0.0007348905789612848,0.9983862359896047,0.001184007729927344,0.01187762536125593,1.2,0.0003238230379546761,0.002345223019643846,0.0003238230379546354,0.0003238230379546761,4.390400321472325e-05,0.002804263537290771
40,2.700080465498832,0.9983991099804586,0.0004855543742727964,0.001165151601610832,0.1,2.736985799547461,7.177421692074578,0.005440102443788635,0.08559250837874123,0.0003271380028327897,9.932730198539078,0.06726980146093473,0.0007070808610023811,0.112876605475284,4.90857736883575,0.001908793152691875,0.996405808370191,0.00288711076876006,0.02137045869684798,1.2,0.0007232764752984983,0.004101297888127132,0.0007232764752984552,0.0007232764752984983,9.816758494462022e-05,0.004898490985317298
50,2.775958601328392,0.9962398819422735,0.001258990567017467,0.003109811931469257,0.1,1.17147508504444,8.689672053643859,0.00672161876684619,0.1388528613120503,0.0004469969975095127,9.915308371959794,0.08469162804022262,0.001033754640550359,0.2826813056821484,4.844157509115879,0.006848398224330275,0.9903057656499364,0.008660479709466047,0.04751033922741323,1.2,0.001750040390794887,0.008324040398988947,0.001750040390794881,0.001750040390794887,0.0002360553559116882,0.009839395429960858
60,2.744231029687382,0.9895480210706277,0.004898109831604303,0.01251134183003188,0.1,0.2768287139234885,9.520635896662005,0.007570388480505974,0.2025353894146971,0.0005644122101848435,9.902069650351628,0.09793034964839191,0.001387681228459515,1.04671485769768,4.72358853344191,0.03395031031927713,0.9606386453862339,0.03797367338525959,0.1601634746358164,1.2,0.005973434543338695,0.02454208829791636,0.005973434543338695,0.005973434543338695,0.0007948356822591689,0.02843026034904793
70,2.482593447014962,0.9625358364559996,0.01659950194337607,0.04014321481117101,0.1,0.1123399434417229,9.637243722803154,0.007814468372057003,0.2504163337602284,0.0006384125614032634,9.897042580935022,0.1029574190650068,0.001643760095667965,2.447770676593476,4.538971811750406,0.08611553110800116,0.876142089180281,0.1222141507240044,0.446826918773011,1.2,0.02243937428868371,0.07643829047069606,0.02243937428868371,0.02243937428868371,0.003015623997356018,0.08895974559002222
80,2.022685182737629,0.8947572393734869,0.03265777490345218,0.07569627633944982,0.1,0.06926883587395717,9.64747841136354,0.007881921543973961,0.2832527527676981,0.0006829626443751997,9.895691652050521,0.1043083479495081,0.001729295922599,3.947212141342881,4.345163763622475,0.1403202918356293,0.7694197708704253,0.2288509332069297,0.8105285375626133,1.2,0.05200747872060768,0.1579652502196924,0.05200747872060768,0.05200747872060768,0.007097364619273534,0.1874502945332671
90,1.561946612595203,0.7982315996108486,0.04753703822872023,0.1078256866187128,0.1,0.04978062144163323,9.646356621833444,0.007908354143847864,0.3038627567300697,0.0007067986287295721,9.895227334495086,0.1047726655049452,0.001685223895700491,5.489495438268148,4.175896116637277,0.1931646613515876,0.6736303333479416,0.3246844427563119,1.196985453550163,1.2,0.08410262429312711,0.2511985916348911,0.08410262429312712,0.08410262429312711,0.01157847813503694,0.3024582127728503
100,1.213546703909552,0.702779048063953,0.05950510825778762,0.1334530581773946,0.1,0.03868057107930035,9.645916664358218,0.00792146091827838,0.31540276456768,0.0007162036644505955,9.895014736327765,0.1049852636722696,0.001574618780082631,7.067676606491207,4.036835967595874,0.2444357294457243,0.5973906652739297,0.4010347159459424,1.59431281163654,1.2,0.1119310431146758,0.3489929451805041,0.1119310431146758,0.1119310431146758,0.01548273718530678,0.4240592107781034
