Time,E_cadherin,Foxo3a,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_mTOR,vimentin
0,1,1,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0.2,0,0,0,0,0,0
10,1.785331928614007,0.999959961981657,5.888031739804968e-05,7.184230644394194e-05,0.1,8.114059031042585,1.875680882635633,0.001193810725122518,0.01026008632177561,5.579351781570142e-05,9.988896323988461,0.01110367601155902,5.118605558996531e-05,0.02137658545225366,4.989319177881303,0.0001384376951916477,0.9997734954158957,0.0001753185284454189,0.00388655646709195,0.2,5.414558011901678e-05,0.0005961363168288986,5.414558011901678e-05,5.414558011901678e-05,6.935112274650689e-06,0.000671610192991096
20,2.257901759334298,0.9995818362933377,0.0002259844108989628,0.0002278703206270935,0.1,6.263343501761459,3.710420220436504,0.002625524194150896,0.02623627780195849,0.0001342949915800027,9.970331520118688,0.02966847988133083,0.0002051729892579786,0.03542075475495909,4.972605696176916,0.000319071401147472,0.9992953403712134,0.0004994866393811298,0.007064682835123462,0.2,0.0002953704530032353,0.001357203981825856,0.0002953704530032353,0.0002953704530032353,3.955825629565719e-05,0.001603093781249849
30,2.53902271992183,0.9984704132564605,0.0005475127768331869,0.0005242720577852918,0.1,4.464920676498145,5.485021571985865,0.004054220482183932,0.05005775151722449,0.0002242150958336355,9.951278232378073,0.04872176762194562,0.0004297647507639526,0.05998799087190251,4.947369062733567,0.0007351000983971548,0.9983861294446065,0.001184105804460433,0.01195866302975931,0.2,0.0007999970833632553,0.002358192528732208,0.0007999970833632552,0.0007999970833632553,0.0001083609855704236,0.002819210201256489
40,2.699875660336588,0.996050951559336,0.00121240728538736,0.001165385985309909,0.1,2.736396585061486,7.178001194303605,0.005440502216560228,0.08560222063631621,0.0003271639628753237,9.932726058435865,0.06727394156414961,0.0007071144277977866,0.1129195970155641,4.908566069251846,0.001909613513441936,0.9964050673640507,0.002887818207981626,0.02156830915291513,0.2,0.001808090267460416,0.004135713772693764,0.001808090267460424,0.001808090267460416,0.0002454234704841592,0.004938754292457576
50,2.775424619171417,0.9907252564917488,0.003044278975259456,0.003112172452068432,0.1,1.170275532491302,8.690837804348096,0.006722472361635316,0.1388866631610987,0.0004470679242161241,9.915298815202329,0.08470118479769043,0.00103385534135092,0.2830342280188604,4.84410595009594,0.006858437265853759,0.9902981184467198,0.008668026211759721,0.04799134100415764,0.2,0.004287994734633353,0.00840653437408498,0.004287994734633365,0.004287994734633353,0.000579100646656584,0.009936172236185625
60,2.742750534005575,0.9752160478872903,0.01123156087801619,0.01254009828857982,0.1,0.2759527437149094,9.52146699465621,0.007571156010648668,0.202580261629119,0.0005644965003421834,9.902058293173312,0.09794170682671186,0.001387843407719933,1.049730702047756,4.723344169699801,0.03405719775567192,0.9605461255845574,0.03806603100755264,0.1617826865494426,0.2,0.01387096682797729,0.02478809870637478,0.01387096682797729,0.01387096682797729,0.001848399027581925,0.02871507149084106
70,2.477792816735962,0.9148443552628709,0.04015800909696737,0.04027961732447197,0.1,0.1117909518757352,9.637808347597858,0.00781496372391466,0.2504007005270548,0.00063839492201173,9.897035506248399,0.1029644937516215,0.001643570439064895,2.459924534098156,4.538152745585684,0.08652438477547693,0.8757162258098546,0.1226402037509111,0.4532800083094741,0.2,0.05314471212643825,0.07739815012658649,0.05314471212643826,0.05314471212643825,0.007127225255734119,0.09006226661886718
80,2.009547673119053,0.7652443136081692,0.08488515468111189,0.07610451617892861,0.1,0.06857906275684293,9.648228777594628,0.00788250800370064,0.2831921596485401,0.0006828336814928943,9.895684440594897,0.1043155594051286,0.001728071449805555,3.987571589111924,4.342645772440733,0.1416349331449252,0.7681556989152217,0.2301162296348033,0.8308584692001948,0.2,0.1320239796187801,0.1612703563550661,0.1320239796187801,0.1320239796187801,0.0179798329948738,0.1912760941889575
90,1.537366352529981,0.5761790343792494,0.129247919474319,0.1087496221074047,0.1,0.04890388579404111,9.647413471264313,0.007909138999155189,0.3036826429420616,0.0007063924058989789,9.895217781517854,0.1047822184821686,0.001681633499784388,5.588816382241185,4.170100879057793,0.1963063884251839,0.6707963028305692,0.3275220636694769,1.24214723898844,0.2,0.2247758903701343,0.2593939959409602,0.2247758903701343,0.2247758903701343,0.03090283659373169,0.312087833108948
