Time,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,T315,p_473S_Akt,p_mTOR
0,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0.2,0,0
10,5.888020538479169e-05,7.184230716953123e-05,0.1,8.114059035899142,1.87568087802031,0.00119381028067393,0.0102600860805323,5.579349073535558e-05,9.98889633967001,0.01110366032998443,5.118609172248097e-05,0.02137659028309501,4.989319178025382,0.0001384378088922192,0.9997734954054986,0.0001753185028009775,0.2,5.414579518319722e-05,6.935146990933858e-06
20,0.0002259843423161044,0.0002278700786028004,0.1,6.26334365647174,3.710420060233496,0.002625523369870778,0.0262362832946754,0.0001342949485662961,9.970331545817917,0.02966845418208329,0.0002051730397179432,0.03542090860306686,4.972605689503734,0.0003190735456518129,0.9992953412925875,0.0004994856677363037,0.2,0.0002953706440072303,3.955828597321239e-05
30,0.0005475146376263919,0.0005242733793970711,0.1,4.464920371044527,5.485021914275888,0.004054217129307904,0.05005771467960565,0.0002242149445137134,9.951278343306374,0.04872165669362746,0.0004297647188973176,0.05998767525534942,4.947369094955944,0.0007351023112818481,0.9983861268912956,0.001184108389848915,0.2,0.0007999935841326197,0.0001083604271690033
40,0.001212395227775938,0.001165377503353631,0.1,2.73639393846295,7.178004186913597,0.005440499251193651,0.08560187462341552,0.0003271636359664242,9.932726070439475,0.06727392956052652,0.0007071140253731906,0.1129167901589395,4.908566277478624,0.001909767421507929,0.9964050831594726,0.002887802815195789,0.2,0.001808072331590137,0.0002454210447162376
50,0.003044254105187216,0.003112172194080781,0.1,1.170274007308942,8.690839303059956,0.006722480047459977,0.1388866896312549,0.0004470676531136707,9.915298827611329,0.08470117238867066,0.001033853970097228,0.2830331713008549,4.844106438286814,0.006857950630506604,0.9902981462016303,0.008667999828313872,0.2,0.004287958412138443,0.0005790957828394406
60,0.01123119325272308,0.01253985552127135,0.1,0.2759616070658981,9.521454140300415,0.00757116401636567,0.2025842526321621,0.0005644978371590864,9.902058222756676,0.09794177724332161,0.001387843124855171,1.049743631351276,4.723344216275752,0.03405404106769602,0.960547007812709,0.03806514906247412,0.2,0.01387073751202589,0.001848372446978229
70,0.04015772838676588,0.04027919238237798,0.1,0.1117914380852446,9.637811952518168,0.007814966535031838,0.2503966093941834,0.0006384029817489706,9.897035531688225,0.1029644683117674,0.001643579056335856,2.459914561198125,4.538146595370136,0.08653540442891523,0.8757170121749501,0.122639408768754,0.2,0.0531441504093817,0.007127146574520765
80,0.08488521488839249,0.07610452194562249,0.1,0.06857662185481231,9.648233299311837,0.007882509320819676,0.2831900788309732,0.0006828311968087608,9.895684415470217,0.1043155845297789,0.001728070167305232,3.987568814731624,4.342647943984312,0.1416348430282088,0.768155697040327,0.2301162327924078,0.2,0.1320242425451989,0.01797987090213994
90,0.1292477755091765,0.1087495179096394,0.1,0.04890408623982938,9.647414705152478,0.007909139570539866,0.3036812086050944,0.0007063906531969454,9.895217751582045,0.1047822484179496,0.001681629876738773,5.588816735838855,4.170102580292292,0.1963064206926313,0.6707966002435943,0.3275217698797072,0.2,0.224775838794051,0.03090283189922664
100,0.1662028257972945,0.1350578224095491,0.1,0.03766982572770314,9.647308245256875,0.007922424238841232,0.3150219290132812,0.0007153119174784896,9.895002684562634,0.1049973154373632,0.001567052813973172,7.258808514663728,4.026471586759841,0.2502961173028841,0.5925049449933851,0.4059280021926817,0.2,0.3090773417462428,0.04271607554967727
110,0.1953125968009605,0.155630626224126,0.1,0.0304597281020469,9.64946867725739,0.007929818808246362,0.3200715946383759,0.0007148760890832038,9.894887054596225,0.1051129454037747,0.001430033828649594,8.983552571420148,3.907028212749985,0.3034757412237844,0.5312904247011699,0.4672795414702212,0.2,0.3778012785000367,0.05236725427697727
