Time,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,T315,p_473S_Akt,p_mTOR
0,0,0,0.9,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0,0
10,0.0001759570020235786,0.0001900527287934751,0.9,8.272352278238278,1.718317653668874,0.009994785344355127,0.009330068092916205,0.0004670248302222824,9.906457000028986,0.0935429999710129,0.0004367565453859217,0.02047722865329608,4.989467694307973,0.0001291457592841871,0.9993939329903746,0.0001693104642411684,0,0.0001407168234743033,1.764317246467166e-05
20,0.0009099307507724913,0.0006736351794337785,0.9,6.853876046188025,3.124778094671308,0.02053667730127444,0.02134585914127297,0.001042151042733778,9.768345244779937,0.2316547552200584,0.001649403998679372,0.03017010967094377,4.975283139311705,0.0002493878819151476,0.9979205373775959,0.0004300586237301945,0,0.001130078689101072,0.0001504895462874691
30,0.002099081281873693,0.00132698410654815,0.9,5.697497986795638,4.266784772768546,0.02963778838286467,0.03571724043571221,0.001601952442200295,9.647838859211159,0.352161140788843,0.003229559122440464,0.04161368010560101,4.958202747029678,0.0004261729252211141,0.9959481128327917,0.0008223280447729977,0,0.003159980600992316,0.000429100214229337
40,0.003562270179700597,0.0020772543129323,0.9,4.754760139236459,5.193086353088558,0.03727181597188536,0.05215350767486799,0.002130306707547668,9.548498224914168,0.4515017750858345,0.004919610707194731,0.05502048319556251,4.938730907423429,0.000674817372478707,0.9936895391783036,0.001390850114506871,0,0.005929156284948696,0.0008122962098999301
50,0.005200568382905378,0.002897034776669841,0.9,3.986275886298018,5.943433259793801,0.04362378344681966,0.07029085390803594,0.002625149316064542,9.467313303026325,0.5326866969736788,0.006592985590364572,0.07058537837007695,4.917296544937353,0.001011124169183618,0.9912236723306159,0.002183342079024712,0,0.009164611415755341,0.001261430693273129
60,0.006982133372004043,0.003783009577198812,0.9,3.360009520312828,6.55029832619884,0.04888600200295257,0.08969215348818156,0.003087180113767845,9.401078941497474,0.5989210585025301,0.008193072047857065,0.08848410722395736,4.894329183876899,0.001450360090850974,0.9885588775696791,0.003248050382469038,0,0.01273511728472315,0.001757606398458265
70,0.008909956242694951,0.00474191355389861,0.9,2.849761347411855,7.040375329165862,0.0532314399901927,0.1098633234221818,0.00351725525194368,9.347072026553805,0.6529279734461984,0.009696023720537982,0.1088267048866966,4.870288950151028,0.002004890229411614,0.9856744190545438,0.004629557224922914,0,0.0166102532300188,0.002296234527720863
80,0.01099986523326371,0.005782386066080689,0.9,2.434100569987164,7.435617676303422,0.0568107511845248,0.130281753709295,0.003915719176775036,9.303048596314612,0.6969514036853899,0.01109223764734263,0.1316461277066886,4.845664451629139,0.002682555629496526,0.9825444801446691,0.00636328220799285,0,0.02080931933001363,0.002879871012619643
90,0.01326674987159656,0.006910275221847979,0.9,2.095421765316392,7.754142490201973,0.05975372429613247,0.1504357444817767,0.004282429252718348,9.267164010613822,0.7328359893861811,0.01237731016060121,0.1568767595595267,4.820948698125264,0.003485106243438317,0.9791519781031666,0.008470711736235923,0,0.02536370257229255,0.00351288924590274
