Time,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,T315,p_473S_Akt,p_mTOR
0,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0,0
10,7.442074165263301e-05,7.184236343963977e-05,0.1,8.114057715817903,1.875682191082855,0.001193810548888936,0.01026009309917694,5.579349896324385e-05,9.98889634905712,0.01110365094286974,5.11861268079828e-05,0.02137664898246493,4.989319170499637,0.000138438117187968,0.9997734952149391,0.0001753186582767322,0,6.639077423636212e-05,8.466364175813984e-06
20,0.0003107594381878034,0.000227870113380948,0.1,6.263316668980457,3.710446882341472,0.002625536571339495,0.02623644867797049,0.0001342955714720516,9.97033149877317,0.02966850122681854,0.0002051737618611786,0.03542171510376137,4.972605503621889,0.0003190914988720399,0.9992953393701703,0.0004994868679947338,0,0.0003984737408653542,5.325843222053695e-05
30,0.00077713808036097,0.0005242941221446567,0.1,4.46478576413237,5.485155051746713,0.004054302640647157,0.05005918412065861,0.0002242195460442918,9.951277566692156,0.04872243330783029,0.0004297695307145877,0.0599921074818985,4.947367586663342,0.0007350730334697624,0.9983860633634905,0.001184167105821211,0,0.001125367044782476,0.0001523013603309683
40,0.001731518992869583,0.001165552100666794,0.1,2.735998529985222,7.178392823324731,0.005440767638236758,0.08560864668974404,0.0003271809682857757,9.932723344047927,0.06727665595205995,0.0007071357809297255,0.1129496224489185,4.908558479584205,0.001910219460890225,0.9964045267031013,0.002888337515994296,0,0.002579388423278388,0.000350073423469776
50,0.004276656822332758,0.003113816173981846,0.1,1.16943899409329,8.691649952585349,0.006723077600364188,0.1389110533195639,0.0004471180659335247,9.915292223208011,0.08470777679197711,0.001033923557600512,0.283279578578949,4.844069841190906,0.006864815822021157,0.990292828398465,0.008673248043959796,0,0.006066881115898702,0.00081987544019192
60,0.01523218745395666,0.01256002170386434,0.1,0.275385443775944,9.521993131224075,0.007571681077171778,0.2026214249978975,0.0005645609119715818,9.902050494205916,0.09794950579406565,0.00138795783425908,1.051824686071919,4.723170559730569,0.03412585508480857,0.9604824007253019,0.03812964144046434,0,0.01899784294812982,0.00253435780516894
70,0.05552332390589673,0.04036933641631121,0.1,0.1114413133487481,9.638135908637866,0.007815282176873006,0.2504227780114677,0.000638422847484303,9.897030899648094,0.1029691003518814,0.001643506702977652,2.467809150082266,4.537585002767143,0.08679013837226163,0.8754363419983969,0.1229201512986509,0,0.0727579839451665,0.009748222868832293
80,0.1231422117164664,0.07637108518811078,0.1,0.06812573471602862,9.648701130695885,0.007882891818890311,0.283173134586233,0.0006827763461402445,9.89567975414093,0.1043202458590424,0.00172734931830171,4.014438669922892,4.340967223879594,0.142506538158091,0.767329672970136,0.230942977711588,0,0.1884319932925994,0.02562486843176326
90,0.1946964365469455,0.1093800333076478,0.1,0.04829791062716372,9.648131795527705,0.007909678846019227,0.3035702938434501,0.0007061289035054209,9.895211287540633,0.1047887124593314,0.001679295902896217,5.659511827577482,4.166053260133344,0.1985294333675236,0.6688591162477112,0.329461587849418,0,0.3338199169570706,0.04584210380000867
100,0.256786945043448,0.1362144162599862,0.1,0.03694170074156644,9.648305295006013,0.007923119786048878,0.3147530042506999,0.0007146752134533017,9.894994099034708,0.1050059009652569,0.001561808574371763,7.403371123288507,4.018811557882684,0.2546986416041361,0.5889778789509009,0.4094603124747525,0,0.4725107930562473,0.06525123117313752
110,0.3067802655689547,0.1573674276664032,0.1,0.02965107449676398,9.650765530496463,0.007930623514914399,0.3195833950050924,0.0007136931246090289,9.894876856314482,0.1051231436854879,0.001420814444898933,9.230681435852592,3.894969998341641,0.3107558479576033,0.5260229344281638,0.4725562511269626,0,0.5890662792620752,0.08160702601211042
120,0.3464039840097975,0.174141835510925,0.1,0.02462837331854494,9.655099409841602,0.007935073391564179,0.3202722168382484,0.0007070482571206682,9.89480869129393,0.1051913087060392,0.001281383750060152,11.12206176061457,3.788731907570735,0.3663640055199591,0.4760751781847752,0.5226434380651999,0,0.6825518913549414,0.09473546393750945
130,0.378108390606072,0.1876787378287985,0.1,0.02098898423213672,9.660630216596605,0.007937863594349878,0.3183807991697158,0.0006972798230572455,9.894766721926979,0.1052332780729894,0.001154385057013041,13.06078427466447,3.695439224077123,0.4212246901026373,0.4357419931708224,0.5631036217722026,0,0.7571030895915715,0.1052030012030716
140,0.4039116992391538,0.19880515019518,0.1,0.01824774963158438,9.66679973058922,0.007939718620967191,0.3149525197778461,0.0006859505115867003,9.894739340618754,0.105260659381214,0.001043028525731869,15.03410998056803,3.611817442632786,0.4751155740886139,0.4025714870088589,0.5963854844654461,0,0.8172566454561259,0.1136446754869007
150,0.4252745270982451,0.2080996614258641,0.1,0.01611785639634586,9.673220752070712,0.007941026684923193,0.3106613915314577,0.0006739876943838784,9.894720382491435,0.1052796175085303,0.0009470313224658315,17.03263458497242,3.535628460106501,0.5278845623950853,0.3748484017256023,0.6242045669519678,0,0.8665992940381533,0.1205653154348813
