Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1.2,0,0,0,0,0,0,0
10,0.2081675563117811,1.78520529657023,0.994957573004928,0.04986875350855768,0.004734606651835476,0.007059995458665214,0.005267923685186316,0.1,8.113112160084778,1.876622679740199,0.001194312699011669,0.01026516017503378,5.581470837150097e-05,9.988893281007092,0.01110671899290698,5.119554300790355e-05,0.02140686707123602,4.989313785584887,0.0001386212594636945,0.9997733817277541,0.0001754227292344425,0.004514322196945605,1.2,0.005751185346022168,0.0006516120551850641,0.005751185346022168,0.005751185346022168,0.3577254356091168,0.000761461189049844,0.0007312014723787432
20,0.08710029015923944,2.256528265494457,0.9791103237379251,0.002899964157342128,0.002730040445044857,0.003254367443143078,0.01475908940026234,0.1,6.258223367012968,3.715500154960559,0.002628879631516557,0.02627647802653051,0.0001344661343948029,9.970298441596452,0.02970155840354599,0.0002053565244288511,0.03551413780923939,4.972563122785838,0.0003200130183092758,0.9992940799650616,0.0005005635105058454,0.008802753345688663,1.2,0.007395590886252655,0.001687867560367722,0.007395590886252656,0.007395590886252655,0.06678852188469529,0.001045588917673607,0.001985838492080394
30,0.02162398055680785,2.53640399282839,0.9751288798187153,0.0005366637499404506,0.001023502129937211,0.001284420706819494,0.01076800192113933,0.1,4.45707762211384,5.492766219871679,0.004060001930698383,0.05015615801438202,0.0002245609795049426,9.951209149905864,0.04879085009413755,0.0004303472904710279,0.06016006294717315,4.947262948200981,0.0007379503715515952,0.9983816175664075,0.00118803514311822,0.01314355173714128,1.2,0.00362729220229145,0.002715431488328543,0.00362729220229145,0.00362729220229145,0.01073009787293393,0.0005197676287609533,0.003264391721960836
40,0.004609677993769495,2.697255560124157,0.979073461607845,0.0002444121582872535,0.0008697001015157384,0.001331911282778781,0.005723767566834086,0.1,2.728151863261393,7.186066569963943,0.005446994572853098,0.08578156677513751,0.0003276449701959616,9.932641582726164,0.06735841727383786,0.0007081483938236209,0.1133298803712018,4.908362515643652,0.001919495455828793,0.9963912228447905,0.002900628761382551,0.02200191751081598,1.2,0.002006429159159492,0.004327804249406268,0.002006429159159492,0.002006429159159492,0.002030163567947105,0.0002817293396730991,0.005197085499359526
50,0.001018775897652947,2.773522775437623,0.9821405532848754,0.0001656510001210631,0.001876202267072357,0.003164926049244872,0.004989594780542083,0.1,1.163689509043524,8.697140865904265,0.00672807264275533,0.1391696250615271,0.0004476456699621471,9.915220162538354,0.08477983746164587,0.001035280392215252,0.2845112308951697,4.843722176129238,0.0069048528581923,0.9902442997187609,0.008720419889020527,0.04806802866756568,1.2,0.002807490700245897,0.008468882633636831,0.002807490700245897,0.002807490700245897,0.0006002674072790874,0.000381493758238998,0.01002918431595772
60,0.0003395294385663929,2.741532624050668,0.9771353403840806,0.0002821836950141618,0.007107927730649968,0.01262984234025464,0.0113330822394506,0.1,0.2745788586845178,9.522592328835364,0.007573113807809297,0.2028288124893258,0.0005649069869672939,9.902018732966928,0.09798126703307326,0.001389248724646466,1.054362897962562,4.722679869377881,0.03423013479114342,0.9603037236451544,0.03830702763019604,0.1618478914421278,1.2,0.008726947814943641,0.02481478333409519,0.008726947814943639,0.008726947814943641,0.0004788606029707572,0.001162188691292625,0.02875303791100869
70,0.0004291191835970584,2.478053925966414,0.9412267071032986,0.000991472430539404,0.02493834815619342,0.0403875689709964,0.04273233514598788,0.1,0.1117749756253101,9.63764563494099,0.007815242163591403,0.2505793894428807,0.000638651227582521,9.897027529634633,0.1029724703653719,0.001644383961664145,2.459833147066728,4.537675920509163,0.08654714720856789,0.8754411083880107,0.1229145076503219,0.4508892513154492,1.2,0.03328127125055708,0.07715147990207627,0.03328127125055708,0.03328127125055708,0.001268315573865667,0.004467042462978445,0.08979624693993048
80,0.001343216365425438,2.015143346796034,0.8437463063862601,0.003061570473900839,0.05159040738108046,0.07606782628779098,0.1199764511823412,0.1,0.0688923924152426,9.647765372534895,0.007882327983624501,0.2833422350582998,0.000683052941299316,9.89568536956441,0.1043146304355972,0.001728752471215337,3.969491281490278,4.343330165588636,0.1410674331155914,0.7684228867034538,0.2298483608253273,0.8197092418204058,1.2,0.08072406616378403,0.159600482124603,0.08072406616378403,0.08072406616378403,0.004203706036590843,0.01099949926819043,0.1893747683964562
90,0.00354194056847659,1.550850192471924,0.705281392058471,0.006382970072012868,0.07842915927344704,0.1084223090509189,0.2281981382824836,0.1,0.0493850284004634,9.646751981392226,0.007908728880407785,0.3038629902156498,0.0007067102929822518,9.895222381067756,0.1047776189322482,0.001683379264995169,5.533414112011426,4.173029269640533,0.1945671859050535,0.6721661560537476,0.3261504646812541,1.215407154035007,1.2,0.1364127037388662,0.2546458947463936,0.1364127037388662,0.1364127037388662,0.009927305818823404,0.01875481880755902,0.3065383117222456
