Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0.2,0,0,0,0,0,0,0
10,0.2081700708736415,1.785149263059723,0.9924036978818952,0.04990613893982818,0.008686856268993562,0.007060080688100015,0.008070931522478,0.1,8.112651556830528,1.877080860318995,0.001194545596793734,0.01026758285059911,5.582417097064835e-05,9.988892046089365,0.01110795391062787,5.119923223368382e-05,0.02142495566191061,4.989311197186767,0.0001387238622327692,0.9997733280705603,0.0001754726972040027,0.004850992245054688,0.2,0.009474376296923718,0.00067693171384067,0.009474376296923718,0.009474376296923718,0.3577455522452974,0.00123888903130589,0.0007581598627924988
20,0.08721092176462106,2.255395905526659,0.9603278985055524,0.003282138403854793,0.007109535982428214,0.003258137482058158,0.02994906924258171,0.1,6.253722991257961,3.719966487098413,0.002631710070197624,0.02631052164310151,0.0001346071520275116,9.970272656701317,0.02972734329867396,0.0002054870143084521,0.03561229356195755,4.972526952473357,0.0003209441818634255,0.9992930254503382,0.0005014875353512343,0.0106343330951312,0.2,0.01664138577179407,0.001983055651194582,0.01664138577179407,0.01664138577179407,0.06724050012190061,0.002333287606975059,0.002321505041472837
30,0.02200809384579677,2.533421424959452,0.9464497085459583,0.001075183402391962,0.00295201011421473,0.001298512310576647,0.02626196749000378,0.1,4.44815614334233,5.501581694529438,0.004066361370157575,0.05026216212794507,0.0002249319074427843,9.951136952919798,0.04886304708018546,0.0004308992951672514,0.06038252779752824,4.94714822081851,0.0007414283675649818,0.9983767432214465,0.001192357483384541,0.01503588919857528,0.2,0.009712697585564711,0.003187615969796112,0.009712697585564711,0.009712697585564711,0.01173329593341538,0.001387105607821194,0.003836850321601145
40,0.005092242260474876,2.693478978827689,0.9522949326435477,0.0006167932565916698,0.002003016186850166,0.001353614314805725,0.01493816924566946,0.1,2.717232476137914,7.196763994528566,0.005455345568121428,0.0860035293333291,0.0003282430722205543,9.932537067838373,0.06746293216160679,0.0007093057100563674,0.1139172984564621,4.908108854433773,0.001933094947689658,0.9963737217869882,0.002916972502953948,0.02320009650301014,0.2,0.005144094754354297,0.004699476381795754,0.005144094754354299,0.005144094754354297,0.002958278890089452,0.0007266085936182833,0.005672396467873517
50,0.001394012987193437,2.769807421333335,0.9596016613526603,0.0003993988978606255,0.003681255197622363,0.003203491291495392,0.01138192530418712,0.1,1.153536568024231,8.706903804051809,0.006736382425319016,0.1395596279236598,0.0004484531106310371,9.915107871352959,0.08489212864701583,0.00103708469046328,0.2871394837423643,4.84316630988923,0.006987419277104718,0.9901618102006184,0.008801105108916761,0.0491908167605212,0.2,0.005853449642524093,0.008748355947112905,0.005853449642524095,0.005853449642524093,0.00121467666229999,0.0007997933023425391,0.01038734818087816
60,0.0006184196019927497,2.736994366275556,0.9528289969815974,0.0005664899791865466,0.0129866204175195,0.01279013163107114,0.02188463599026347,0.1,0.2713901509922398,9.525403541612716,0.00757686818514725,0.2032063073955403,0.0005655482552038192,9.901950025841188,0.09804997415878618,0.001391173272699946,1.065659882305178,4.72141867684073,0.03463963280197236,0.9598301652935459,0.03877866143375541,0.1648774540307626,0.2,0.01626128221223973,0.02531565525187172,0.01626128221223973,0.01626128221223973,0.001007277055693095,0.002170377937361135,0.02934733802354887
70,0.000823374057951115,2.469719363790726,0.8920837819974745,0.001831995550783688,0.0465174281574965,0.04075819493810636,0.07867513611271297,0.1,0.1108225299387937,9.638334385263102,0.007816433204529202,0.2508430847972081,0.0006390182437882416,9.897005497744901,0.1029945022550712,0.0016451083046162,2.481065337081877,4.535571740373167,0.08729351076007903,0.8743473541742468,0.1240075375211361,0.4591576131083064,0.2,0.06144462406164299,0.07853464598517625,0.06144462406164299,0.06144462406164299,0.002387016610395727,0.008238944428786307,0.09141118606074362
80,0.002501241007779173,1.999316354092688,0.7291685199698565,0.005749110718706083,0.0999131497592496,0.07671493479571746,0.2270496031953639,0.1,0.06807915876788398,9.648451437177632,0.007883117130590894,0.2834694040536717,0.0006831589102090972,9.895674113650824,0.1043258863491443,0.001727580238748712,4.016849708449236,4.33977150592926,0.1426360610182976,0.7665601299114593,0.2317122898497906,0.8409279457761296,0.2,0.1545232578849667,0.1632405704341526,0.1545232578849668,0.1545232578849667,0.007839488300796957,0.02103354792758207,0.1936314619353029
90,0.006719261288486319,1.52555550033499,0.5263316188432515,0.01232355091589466,0.1544680354768988,0.1095657431595186,0.4433384684818595,0.1,0.04849988988132223,9.647694303683096,0.007909557104309422,0.3038058064345937,0.0007064435416300612,9.895211769289988,0.1047882307099785,0.001679455065520766,5.635552655994136,4.166668878523592,0.1978111422417389,0.6689922707416036,0.329328274192874,1.259756074295983,0.2,0.2670601922108943,0.2628471112405445,0.2670601922108943,0.2670601922108943,0.01899329113688061,0.03669899181606338,0.3162156107992927
100,0.01325562226234839,1.167401911774845,0.3780889022801628,0.01984203046727434,0.201041914241146,0.136212390448632,0.6694453869907563,0.1,0.03728584894737379,9.647713015767897,0.007922803105530944,0.3150011352834736,0.0007150914834102891,9.894997619797866,0.1050023802021036,0.001563346390516129,7.334237689567003,4.021995271766584,0.2526164870858988,0.5903279856197304,0.4081086679897521,1.701416648676594,0.2,0.3719718714256453,0.3702606578201673,0.3719718714256453,0.3719718714256453,0.03377011893760509,0.05138882376695095,0.4494462051652919
110,0.0207144699784419,0.9289937676486925,0.2967254319190022,0.02682267283444989,0.2383982341395232,0.1571942657246556,0.8692028704956904,0.1,0.03007787361470479,9.650011927701563,0.007930192755555305,0.3199101986821306,0.0007143680083213593,9.894882147572634,0.1051178524273335,0.00142477326124003,9.098576253161632,3.901122553682959,0.3068822210494288,0.5286293414235337,0.4699458853152252,2.158220258273825,0.2,0.4592841998392807,0.482523024934167,0.4592841998392807,0.4592841998392807,0.04886172599879727,0.06364301237902389,0.5891449508939638
120,0.02779476984901916,0.7716202933640791,0.2543419451609611,0.0326801408071135,0.2681008734254673,0.173833484259819,1.033091633803883,0.1,0.02509906743462676,9.654171482455306,0.007934587871481057,0.3207294501086931,0.0007080998139035033,9.894814891839466,0.1051851081605032,0.001288206418962052,10.91211963647111,3.797953254452825,0.3604004824756925,0.4797912868520162,0.5189205067290196,2.625040399376863,0.2,0.5292649490251882,0.5979511635567801,0.5292649490251882,0.5292649490251882,0.0622162602555324,0.073469837806205,0.7330247684717662
