Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,1.2,0,0,0,0,0,0,0
10,0.2708813529032538,1.784216419743658,0.9560844177431346,1,0.04776033247532303,0.08878867629428833,0.04571854080357455,0.9542814591964253,0.1,8.117895607183508,1.871868545697247,0.001582084671807818,0.01023584711893078,7.392906059161489e-05,9.985288432590803,0.01471156740919565,6.783629162478664e-05,0.02143561264300562,4.98930839192866,0.0001386075314946572,0.9997567756397014,0.0001753880686794989,0.009513750687125426,0.3249736691078716,1.2,0.05325751894528979,0.001085649891324896,0.05325751894529018,0.05325751894528979,0.6750263308921273,0.006988010741870744,0.001197239678216668
20,0.3290560974962794,2.24305331176522,0.7823977007781909,1,0.06685514852039855,0.1097171105481127,0.1660971744996847,0.8339028255003152,0.1,6.269368727026989,3.704462480907829,0.003482689118978359,0.02616879206426093,0.0001780541232206882,9.960686369209851,0.03931363079014874,0.0002719471350116456,0.03561364038655971,4.972560957970805,0.000319812240704963,0.9992276163990201,0.0005004364659740339,0.02988983583188649,0.3235754682972544,1.2,0.1206012670921826,0.005120990249075264,0.1206012670921765,0.1206012670921826,0.6764245317027445,0.01662194011426534,0.00590960274080764
30,0.336974339045903,2.497582703752661,0.6461031329971121,1,0.06986289405102321,0.1128655552244856,0.2183471911356948,0.781652808864305,0.1,4.477567524160941,5.472566108294799,0.005378541889942015,0.0498663675408102,0.0002972109520832254,9.935452924398898,0.06454707560110365,0.0005697079722617443,0.06016017269102188,4.947347931004241,0.0007339665999761631,0.9982454760971492,0.001184815930595054,0.04444949149559118,0.3235722452778572,1.2,0.141414409839628,0.009328828288781822,0.1414144098396259,0.141414409839628,0.6764277547221417,0.01966316653328658,0.01116076976794415
40,0.3380461956338792,2.632237698612014,0.5787461112070976,1,0.07064704708518225,0.1139131677389164,0.2319406345119615,0.7680593654880379,0.1,2.765461479121482,7.149503454334256,0.007210838015685179,0.08503506654186194,0.0004330113465865594,9.910990514746064,0.089009485253936,0.000936652608828606,0.1122006010690868,4.9088418112205,0.001884469848063985,0.9961943589570463,0.002868988434131578,0.05698743010739026,0.3235722375136419,1.2,0.1464014294355621,0.01258761007850544,0.1464014294355619,0.1464014294355621,0.6764277624863571,0.0203911629369655,0.01531811390558518
50,0.3381912107429895,2.689217159169673,0.5490929696074419,1,0.07178345681402921,0.1158756370603302,0.2359325698105474,0.7640674301894519,0.1,1.219234915399635,8.643344618723658,0.008900430223083565,0.1374204658659147,0.0005903242690870556,9.888125159428453,0.111874840571545,0.001367182303130461,0.2734464018439919,4.845658509017317,0.006543843279258318,0.9902131424317006,0.0084196752651861,0.08299635633171054,0.3235722375020267,1.2,0.1486864144314348,0.0172085593812924,0.1486864144314348,0.1486864144314348,0.6764277624979725,0.02070951061358671,0.02089053328695213
60,0.3382108149401112,2.652427323850443,0.5337559789142542,1,0.07655048944564113,0.1246303195928185,0.2408018690058626,0.7591981309941367,0.1,0.3016984810161865,9.497289471061336,0.01004862406069664,0.201012047915514,0.0007466211528731724,9.870533230407339,0.12946676959266,0.001834943891094323,0.9807140406414661,4.729350385610794,0.0315139110816944,0.9626229657609255,0.03554209034799351,0.1877979807961801,0.3235722375020221,1.2,0.1544316709974696,0.03252547307858544,0.1544316709974697,0.1544316709974696,0.676427762497977,0.02147318952675659,0.03853762405268019
70,0.3382134665403552,2.411499941709256,0.5136769863286186,1,0.09284920536806893,0.1508576422605988,0.258936383001349,0.7410636169986503,0.1,0.1202426925149047,9.630118163905683,0.01039634053345132,0.2496391435735006,0.0008471706226646075,9.863547215624212,0.1364527843757881,0.002183374627347945,2.326385828327242,4.55020721907836,0.08164210580732106,0.8823356390819845,0.1154809862906778,0.4609066071609021,0.323572237502022,1.2,0.1767999905955145,0.08151405422477918,0.1767999905955145,0.1767999905955145,0.676427762497977,0.02448297024682824,0.09564958648345213
80,0.3382138251087882,1.984629171324234,0.4732159681393578,1,0.1176597774738245,0.1855059664780463,0.2993510516405061,0.7006489483594931,0.1,0.07364261054132512,9.643256643499898,0.0104927240824631,0.2831007459548566,0.0009079959518737318,9.861636249693838,0.138363750306161,0.002309975280675806,3.774690451694843,4.36002514639281,0.134230368175093,0.7782642564749209,0.2194257682444135,0.8143163325191721,0.323572237502022,1.2,0.2207220788579284,0.1602001547246474,0.2207220788579284,0.2207220788579284,0.676427762497977,0.03052798765051632,0.1905881924476568
90,0.3382138736512557,1.549723131134411,0.419905232821864,1,0.1426900878016816,0.2172579227234651,0.348070324564706,0.651929675435293,0.1,0.05283077128862589,9.642994088357474,0.01053027976969799,0.3041751403502991,0.0009409602177373202,9.860980819713076,0.1390191802869248,0.002262626332264686,5.258420412193422,4.193046777898208,0.185405043049206,0.6835679215157121,0.3141694521520337,1.191263890262468,0.323572237502022,1.2,0.2726252914472638,0.2509776866124297,0.2726252914472637,0.2726252914472638,0.676427762497977,0.0377557594057548,0.3024917663011836
100,0.3382138802126832,1.215225879985689,0.3711570015789073,1,0.164161505536893,0.2427799601103757,0.3903740302075237,0.6096259697924755,0.1,0.04104450602888483,9.642905690558917,0.01054889165802298,0.3160498034084481,0.0009544530723459623,9.860681322386162,0.1393186776138388,0.002123156933707181,6.771153985917883,4.055694080855202,0.234928828612408,0.6076271659487802,0.3902496771175186,1.578073193437602,0.323572237502022,1.2,0.3208929253272779,0.3462590120435188,0.3208929253272779,0.3208929253272779,0.676427762497977,0.04451345643113413,0.42095949394899
110,0.338213881107517,0.9873119788344097,0.3347371712304512,1,0.1815941565636183,0.2626547389129254,0.422518912485239,0.5774810875147602,0.1,0.03348802689858429,9.644897882952641,0.01055928091349851,0.321614090145083,0.0009555245965398064,9.860520326064812,0.1394796739351884,0.001952086128089052,8.30482543688481,3.943001292081554,0.2829252921980221,0.5484961990215202,0.449551714850396,1.969889532210699,0.323572237502022,1.2,0.3613798340438644,0.4435360930572328,0.3613798340438644,0.3613798340438644,0.676427762497977,0.05019361492585601,0.5422783297269322
120,0.3382138812282787,0.8334629174863821,0.3094941366565643,1,0.1956986428393461,0.2783139857878095,0.4462469246652568,0.5537530753347423,0.1,0.02825142621877108,9.648664338088684,0.01056552693762931,0.3230842356890153,0.0009492633479536315,9.860425869306239,0.1395741306937613,0.001781814138822047,9.851460758009276,3.84832255585675,0.3295171286652957,0.5018731835592163,0.4963450023019916,2.364059238460611,0.323572237502022,1.2,0.3942972171081408,0.5417660866088515,0.3942972171081408,0.3942972171081408,0.676427762497977,0.05481333876539313,0.6649373910832886
130,0.3382138812459525,0.7243796442986119,0.2919149164539728,1,0.207299044608835,0.2909606682440188,0.4640730199186631,0.5359269800813358,0.1,0.02441967903285216,9.653565940260899,0.01056954950790483,0.3220143807028674,0.000938961523560996,9.860366354061542,0.1396336459384534,0.001625957495529715,11.40504883762963,3.766445492773187,0.37478867046016,0.4641875054598849,0.5341865370446409,2.759033959852745,0.323572237502022,1.2,0.4211702748367502,0.6403994396719084,0.4211702748367502,0.4211702748367502,0.676427762497977,0.05858314600556976,0.7881746937355851
140,0.3382138812485435,0.6425030368679405,0.2791654724336317,1,0.2170281169638268,0.3014203680518998,0.4778984286959415,0.5221015713040572,0.1,0.0215016021227282,9.659064274370897,0.01057231489198521,0.3194341235030169,0.0009266145799775051,9.860326264841477,0.1396737351585208,0.001488356427924536,12.96148763551063,3.693836930353739,0.4187984540820648,0.4329961225188761,0.5655155210532581,3.153920963245396,0.323572237502022,1.2,0.4434815314023132,0.739126862484197,0.4434815314023132,0.4434815314023132,0.676427762497977,0.06171109156483807,0.9115702255469346
150,0.338213881248923,0.578312393477042,0.2694881908059194,1,0.2253260508751602,0.3102400299562192,0.4889545017114466,0.5110454982885522,0.1,0.01920802339446273,9.664789701571715,0.01057433174139734,0.3160022750306171,0.0009133942223715008,9.860297543548283,0.1397024564517125,0.001368640779591772,14.51799739402445,3.628172643036099,0.46159200058804,0.4066803128760107,0.5919510463444564,3.548177983285675,0.323572237502022,1.2,0.462338162918046,0.837767088028981,0.462338162918046,0.462338162918046,0.676427762497977,0.0643532258283725,1.034880378688606
160,0.3382138812489789,0.5264002482717262,0.2618560510368974,1,0.2324998121207388,0.3177915884459248,0.4980218163296447,0.5019781836703542,0.1,0.01735878450774437,9.670511031327111,0.01057587799516754,0.3121301841617765,0.0008999721383948344,9.860275847280004,0.1397241527199905,0.001264923585715766,16.07263499410077,3.56789844175591,0.5032093060565818,0.3841379041127173,0.614597172301628,3.941446939696295,0.323572237502022,1.2,0.4785194441938967,0.9362063279223847,0.4785194441938967,0.4785194441938967,0.676427762497977,0.0666194482832579,1.157954005065533
