Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,1,0.6,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0
10,0.140751945321799,1.783849525825727,0.9399078197321147,0.05072860575080751,0.07063298764941797,0.0474707169028903,0.06301509820927595,0.9369849017907244,0.6,8.248899619905798,1.74163524561711,0.008944162017548579,0.009465134477114133,0.0004178525934437873,9.916420167941494,0.08357983205850537,0.0003894671723826185,0.02072286089816865,4.989426009534911,0.0001310511785540361,0.9994400477840493,0.0001704850435752389,0.01165544522160847,0.7610165554599707,0,0.07668839198854395,0.001251062476856225,0.07668839198854395,0.07668839198854395,0.238983444540029,0.01002465457237857,0.001373515704535234
20,0.06173517262907698,2.237516429267669,0.7190067945780977,0.008221228984125525,0.06583256683814623,0.02199300402363897,0.210270010737236,0.7897299892627643,0.6,6.758472722329623,3.21942720197383,0.01864255737456276,0.02210007569649841,0.0009466932416865782,9.789991038582288,0.2100089614177077,0.001487710171339614,0.03124384506206935,4.974761485549029,0.0002612112793977757,0.9980694657666408,0.0004428240620269378,0.03677540879846908,0.9455565397797054,0,0.1454503021932155,0.006493033570054981,0.1454503021932155,0.1454503021932155,0.05444346022029421,0.02032179273712437,0.007492453304290731
30,0.02024445598474817,2.492447007036478,0.6399091963477245,0.00693310645986374,0.02998725315570147,0.008234408360917019,0.1921546949787917,0.8078453050212092,0.6,5.51592120983405,4.446380914623066,0.02720338689480967,0.03769787554239672,0.001474404296157208,9.676681044518817,0.3233189554811847,0.002947977751392612,0.04403720047569187,4.956545244023308,0.0004623741214347171,0.9961798979833305,0.000872124265284876,0.03825079050492197,0.9797514310055511,0,0.0936770178919468,0.009410297549584853,0.09367701789194684,0.0936770178919468,0.02024856899444841,0.01334564933419151,0.0114536646354423
40,0.009146880848345567,2.648962701442286,0.6807927985914355,0.004736223658115957,0.01455519797330249,0.005109842280582594,0.1183829050097348,0.8816170949902664,0.6,4.491887195279253,5.452063352151466,0.03446760751379133,0.05604945256879692,0.00198175550809305,9.581833289782869,0.4181667102171308,0.00453841635451221,0.05980615166343892,4.935139085428847,0.0007632777129808928,0.9939335712187495,0.001528012426746063,0.02983035392943613,0.9873878468504289,0,0.04611430274856582,0.008316096320000996,0.04611430274856582,0.04611430274856582,0.01261215314957053,0.006577324591869028,0.01050259226337985
50,0.005251822848675698,2.749804443078911,0.7490807740285276,0.002775368468142752,0.010491506401164,0.004632820721810388,0.06876519739605456,0.9312348026039464,0.6,3.646963503751917,6.276096522572388,0.04057882019708563,0.07693997367520812,0.002467016127214051,9.503406006383724,0.4965939936162762,0.006141330954205736,0.0794622281206316,4.91074508418704,0.001203358789564338,0.9913554327790587,0.002503236266743187,0.02657256511527682,0.9922544853545154,0,0.02691559376089872,0.00699613464967912,0.02691559376089872,0.02691559376089872,0.007745514645483957,0.00379954764740948,0.008883733446922049
60,0.00314800187934418,2.810481552325168,0.8046025683989932,0.001805164860078669,0.01003941122626173,0.004906541277967303,0.04851799544708987,0.9514820045529112,0.6,2.948718364557714,6.951216259960186,0.04570790960126477,0.1000653754820412,0.002931926141968326,9.438574667026055,0.5614253329739427,0.007705106432902769,0.1041265301060621,4.883541316620668,0.001834910887007489,0.9883735291317054,0.003921364435399238,0.02913399895988648,0.9952315894920142,0,0.02179419945354022,0.006977468212795423,0.02179419945354022,0.02179419945354022,0.004768410507985222,0.003045685161791638,0.008720378004292959
70,0.002076257118265551,2.840742720774512,0.8391895843270887,0.001503966146299743,0.01110859247415217,0.005707766179072876,0.04417056375038584,0.9558294362496154,0.6,2.37279704525869,7.502224356961997,0.0499962396219131,0.1249785977793129,0.003377242303459076,9.385015945481587,0.6149840545184078,0.009207897197446602,0.1352474651328093,4.853766979981438,0.002725703501494914,0.9848485235657251,0.005943579236835863,0.03545185328682661,0.9965241978397561,0,0.02219638133928052,0.008086582920168889,0.02219638133928052,0.02219638133928052,0.003475802160243408,0.003084338320994752,0.009972495746293693
80,0.001678878276026798,2.848198116130227,0.8547696653987354,0.001540611825962877,0.01326678754626036,0.00698011126067779,0.04767425749727752,0.9523257425027239,0.6,1.90028056620933,7.948649607213026,0.05355833808619449,0.1510698265777433,0.003801742390430243,9.340925083051705,0.6590749169482913,0.010637400650792,0.1746572400879262,4.821757262327183,0.003960045799615579,0.9805888770949913,0.008773722254224304,0.0446949124923,0.9968094769594836,0,0.0255036276325389,0.01002109648063387,0.0255036276325389,0.0255036276325389,0.003190523040515728,0.00353396683228076,0.01228627525965178
90,0.001667597840465721,2.838025749583895,0.8547037156632432,0.00176739483689939,0.01639249808107548,0.008703240147645298,0.05602106911982167,0.9439789308801799,0.6,1.516036282715662,8.306393899785238,0.05648908249714214,0.1775698174992297,0.004202095119097984,9.304872882296541,0.6951271177034556,0.01198107333731693,0.2245396279347746,4.787954192325541,0.005636239618565642,0.9753623445624544,0.0126565821002365,0.05694329677309917,0.9965459306483919,0,0.03100706301155285,0.01270167129209504,0.03100706301155285,0.03100706301155285,0.003454069351607476,0.00429136116596348,0.01554194655008762
100,0.001881759653991902,2.813213153844404,0.8419216949584583,0.002130590421160243,0.02049293930505931,0.01090634203788581,0.06815492896689598,0.9318450710331057,0.6,1.207579925490248,8.588829389470325,0.05886900584973328,0.2035906850401903,0.004573202758695274,9.27570158299822,0.724298417001773,0.0132221226638432,0.2871361489808918,4.752900003377195,0.00785287737431853,0.9689167685503965,0.01786110878576818,0.07263557241608776,0.9959380646213261,0,0.03854992703316047,0.01619214674913487,0.03854992703316047,0.03854992703316047,0.004061935378673144,0.005333039231218776,0.01980286123385548
110,0.002250403694987366,2.775243277086578,0.8187077492837559,0.002611879847705638,0.02565423648697289,0.01364146688212877,0.08373832439313593,0.9162616756068658,0.6,0.9642287832703542,8.807567795750627,0.06076917635848523,0.2282034209736563,0.004909074967705217,9.252435849817088,0.7475641501829062,0.01433938480329724,0.3644281473944081,4.717215579870304,0.01069625578893025,0.9610243316006415,0.02463628359606202,0.09228383382806066,0.9950644654584354,0,0.04822676514573325,0.02061004255113041,0.04822676514573325,0.04822676514573325,0.004935534541563901,0.00667135936880993,0.02520906354115595
