Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1.5,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0
10,0.1796649851236684,1.7851325159636,0.9918279248056052,0.07480927041231128,0,0,0,0.9913994698132187,0.1,8.112536795432158,1.877194986879398,0,0.01026821768837486,0,9.988891628348021,0.01110837165198394,0,0.02142779095980375,4.989310531281621,0,0.9997733142509299,0,0,0.6948613136238929,0,0.0100236706198439,0,0.0100236706198439,0.0100236706198439,0.3051386863761066,0,0
20,0.07806539723860868,2.255198274212221,0.956853899589832,0,0,0,0.03210619337501705,0.9678938066249831,0.1,6.252899520708403,3.720783725987074,0,0.02631675330437912,0,9.97026813167048,0.02973186832952142,0,0.0356336270801233,4.972520329439092,0,0.9992928340827992,0,0.01099457789344595,0.9358403995317432,0,0.01891671522815338,0,0.01891671522815337,0.01891671522815338,0.06415960046825658,0,0
30,0.02061170960037105,2.532680041678286,0.9383789950819056,0,0,0,0.03071607470862302,0.9692839252913775,0.1,4.445826095545719,5.503885734264352,0,0.05028817018976551,0,9.951120149381284,0.04887985061871229,0,0.06044372687680687,4.947119908375319,0,0.9983755459146061,0,0.0157007710075657,0.988147555669203,0,0.01249824262096809,0,0.01249824262096809,0.01249824262096809,0.01185244433079674,0,0
40,0,2.692208105231737,0.9423742680254618,0,0,0,0.01921174366245046,0.9807882563375506,0.1,2.713719381375491,7.200210850480706,0,0.08606976814347755,0,9.932506087125711,0.06749391287429547,0,0.1141171924401761,4.908032582191395,0,0.9963683055672203,0,0.02380295627312779,0.9967455545630093,0,0,0,0,0,0,0,0
50,0,2.768296236076184,0.9498502186929644,0,0,0,0.01484733075231163,0.9851526692476893,0.1,1.14985346325803,8.710454464011331,0,0.1396920727292366,0,9.915069691271341,0.08493030872866218,0,0.2880499640071846,4.842976970281121,0,0.9901330677722482,0,0.0497650427442622,0.9985095449723037,0,0,0,0,0,0,0,0.01056553112679496
60,0,2.735026624728043,0.9417288671986048,0,0.01564257983617031,0.01285100840945117,0.02659331656939103,0.9734066834306098,0.1,0.2701872119395421,9.526474680443226,0,0.2033381076136119,0,9.901925083733794,0.09807491626620671,0,1.070034717858648,4.720950876429097,0.03479745339363143,0.9596522102288868,0.03895598693524881,0.166183144276915,0.9987313334974163,0,0.01980794665419581,0.02554188437618646,0.01980794665419581,0.01980794665419581,0,0,0.02961760023596482
70,0,2.466158365429848,0.8707114842374233,0,0.05642386468354858,0.04090459636465087,0.08881724534002873,0.9111827546599717,0.1,0.110451825420015,9.638615380964117,0,0.2509327936120141,0,9.896997116707979,0.1030028832920171,0,2.489801302110943,4.534743423594752,0.0876003736955909,0.8739157350079022,0.1244389607122913,0.4627014064722051,0.9971938872672416,0,0.0741919376245419,0.0791253386494868,0.0741919376245419,0.0741919376245419,0,0.009943911910459529,0.09210190017219627
80,0,1.992384421768526,0.6819871572354611,0,0.1243317858333396,0.07697995978194405,0.2282753363427099,0.7717246636572905,0.1,0.06772732795519817,9.648765614347365,0,0.2835070576928902,0,9.895669486907721,0.1043305130922726,0,4.03786420145438,4.338257656980317,0.1433278456063766,0.7657757410696868,0.2324972370035935,0.8506569451332716,0.9916020258042509,0,0.1906354593047111,0.1648698348712086,0.1906354593047111,0.1906354593047111,0,0.02592925712769171,0.195531673843459
90,0,1.513810600829999,0.4592260414509439,0.0109650177392232,0.1960096229156556,0.1100347743275707,0.3755808884939161,0.6244191115060848,0.1,0.04808473760772985,9.648152315853025,0,0.3037629465349163,0,9.895206993996064,0.1047930060039325,0,5.684584857252442,4.163719264245426,0.1993589157399949,0.6675474252975038,0.3307749027178412,1.281726203467225,0.9823370204366777,0,0.3364215634332006,0.266803717322448,0.3364215634332006,0.3364215634332006,0.01766297956332146,0.04620333415604808,0.320866315672056
100,0.01111004699517081,1.151601145690968,0.3127622948022349,0.01488934898383878,0.2582227726057517,0.1369321146909927,0.4782994773274617,0.5217005226725394,0.1,0.03680805162209491,9.648348457359415,0,0.3148434910144381,0,9.894991885633985,0.105008114366011,0,7.430177683220272,4.016831487845523,0.2555398383021824,0.5879295030800153,0.4105108452807212,1.741202492542816,0.9735032283074936,0,0.475381137120603,0.3779926060716289,0.4753811371206031,0.475381137120603,0.0264967716925057,0.06565004422678405,0.4586403172337323
110,0.01481824719330741,0.9110740837007442,0.2408911944372636,0.01741051333852557,0.3083399274709143,0.1581401544108044,0.5420239105629556,0.4579760894370455,0.1,0.02955955183120536,9.650835741365819,0,0.3196047067980888,0,9.894875577012289,0.1051244229877093,0,9.25927014403956,3.893250962193336,0.3116127863256435,0.5251820599511398,0.4733993532338556,2.219893823538771,0.9672701983998828,0,0.5922004517123923,0.4952201094957275,0.5922004517123923,0.5922004517123923,0.03272980160011661,0.08204264595996992,0.6043989931235692
120,0.01734066082592828,0.7530226277318083,0.2055230539487286,0.01899413241543502,0.3480565504351879,0.1749498606747739,0.5824447196460796,0.4175552803539214,0.1,0.02456187497347948,9.655189149953733,0,0.3202489750677307,0,9.894807874039156,0.1051921259608441,0,11.15248390693189,3.78718704599679,0.36723968601236,0.475382609146337,0.5233380849970412,2.711400720140817,0.963309500319606,0,0.6859098538985157,0.6164659215486412,0.6859098538985157,0.6859098538985157,0.03669049968039341,0.09520254079466851,0.7554440632895777
130,0.01896300362999691,0.6433661355236191,0.1854097132554815,0.02003398138715918,0.379817253140714,0.1885057579455059,0.6095605291267031,0.3904394708732978,0.1,0.02093734688355827,9.660733515463896,0,0.3183291376471449,0,9.894766163458318,0.1052338365416843,0,13.09308603268002,3.694009084622774,0.4221206336901621,0.435155955948415,0.5636915300002615,3.211618442386011,0.9607801421209415,0,0.7606164984080467,0.7404116866046565,0.7606164984080467,0.7606164984080467,0.03921985787905774,0.1056920946699405,0.9100324691058812
140,0.0200240547972236,0.5624676196618639,0.1723966710451235,0.02075633813159947,0.4056504974750448,0.1996415681819988,0.6287927521760328,0.3712072478239682,0.1,0.01820661587306885,9.666910069420057,0,0.3148833147017779,0,9.894738932545007,0.1052610674549906,0,15.0683161219048,3.610463141036575,0.4760318585322046,0.402064066135241,0.5968945681823654,3.717931924300513,0.9590864773171424,0,0.8208605592103692,0.8662161708056362,0.8208605592103692,0.8208605592103692,0.04091352268285684,0.1141466457537423,1.067051747402794
150,0.02075122317500975,0.4999793079744963,0.1632395875263546,0.02128431605445121,0.4270302353056514,0.2089407792870714,0.6430910004195812,0.3569089995804197,0.1,0.01608379842010579,9.673333582260151,0,0.3105826193146185,0,9.894720061838724,0.1052799381612707,0,17.06873073374114,3.534324090014111,0.5288196242703548,0.3744001137701133,0.6246543355597227,4.228570581278347,0.957888612035806,0,0.870257665800218,0.9933276805032422,0.870257665800218,0.870257665800218,0.04211138796419327,0.1210750555622598,1.22577520139848
160,0.02127477988770388,0.4501445759138398,0.1564325841924887,0.0216861074602943,0.4449906717097451,0.2168140341882795,0.6541200467210995,0.3458799532789014,0.1,0.01439213394943655,9.679761265571086,0,0.3058466004743899,0,9.894706246352776,0.10529375364722,0,19.08736621021179,3.464063795717724,0.5803865258569056,0.3509586342648541,0.6481779234352558,4.74225896006327,0.9570008195789884,0,0.9114058913259848,1.121364936786365,0.9114058913259848,0.9114058913259848,0.04299918042101095,0.1268435026915072,1.385704823781917
170,0.02166882192847283,0.4094271530151364,0.1511661983813024,0.022002007529189,0.4602794585630751,0.2235610995609884,0.6628821785425868,0.3371178214574143,0.1,0.01301500512575082,9.686049371942486,0,0.3009356229267112,0,9.894695612883192,0.1053043871168058,0,21.11891932429045,3.398598153206271,0.6306736370295948,0.3308572561851771,0.6683496764782917,5.258015808229784,0.95631687164893,0,0.9461771874354813,1.250043517671221,0.9461771874354813,0.9461771874354813,0.04368312835106926,0.1317157808040121,1.546472211495024
180,0.02197633422441839,0.3755273996648421,0.1469672542141697,0.0222569066242688,0.4734441947606278,0.2294034465471798,0.6700100385072636,0.3299899614927377,0.1,0.01187574224471943,9.692116809649937,0,0.2960074481002995,0,9.894687096315311,0.1053129036846838,0,23.15927722463367,3.337146483710586,0.6796500857471468,0.3134423452259258,0.6858251301343312,5.775064458317862,0.9557735013648465,0,0.9759330310026819,1.379142342104118,0.9759330310026819,0.9759330310026819,0.04422649863515265,0.1358836728469806,1.707792641686935
190,0.02222303554525595,0.3468691277292574,0.1435411198594901,0.02246682210032242,0.484890279264832,0.234508123605339,0.6759188923143712,0.32408110768563,0.1,0.01091755335350006,9.697929943016565,0,0.2911525036248785,0,9.894680053363908,0.1053199466360884,0,25.20521560544945,3.279133263010828,0.7273067416679317,0.2982197458072832,0.7011000910660138,6.292783224092684,0.9553315004757601,0,1.001666904400283,1.508486993595794,1.001666904400283,1.001666904400283,0.04466849952423907,0.1394870115988563,1.869442349327088
