Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0
10,0.1407350998145067,1.78442228069947,0.9652929573845997,0.05035323373782503,0.03065936654012705,0.04736746389558306,0.03572080389476053,0.9642791961052394,0.1,8.11850759840941,1.871259767094543,0.001581675400126466,0.01023263449566362,7.391250027354662e-05,9.985290590258412,0.01470940974157294,6.782983013849977e-05,0.02141072837112997,4.989311835451359,0.0001384660351642239,0.999756848482472,0.0001753216873856141,0.008254378343719187,0.7611596829089491,1,0.0386481504963844,0.0009925523181136375,0.0386481504963844,0.0386481504963844,0.2388403170910515,0.005138700932182745,0.001098130132288455
20,0.0608702367271843,2.248768370315002,0.8727140511186385,0.005049386256861975,0.01677748757438077,0.02134810036149029,0.0879017354062937,0.9120982645937062,0.1,6.278166864760674,3.695728839488522,0.003475608250382135,0.02610429575039556,0.0001777096588456788,9.960746075093716,0.03925392490626976,0.0002716621394421506,0.03537741575973837,4.972629962335484,0.000317699181285112,0.9992296669260244,0.0004986709345297432,0.01838622975097368,0.9490976385985119,1,0.0466824360986961,0.003540617756091029,0.0466824360986961,0.0466824360986961,0.05090236140148893,0.006609007943268307,0.004135338326747426
30,0.01724720997934999,2.521942871813569,0.8568912936749237,0.002511574912736496,0.005189868360540157,0.006572133557151905,0.06125197790224964,0.9387480220977504,0.1,4.505701964623499,5.444739416757404,0.00535342293092479,0.04955861861687602,0.0002958043665600119,9.935710426250429,0.06428957374954961,0.000567971912888289,0.05928468473976091,4.947683553758644,0.0007218961108366676,0.9982598728529227,0.001172155234184687,0.01965719835940602,0.9876267801617205,1,0.02120293369413483,0.004680198719173722,0.02120293369413484,0.02120293369413483,0.0123732198382805,0.003053646648611627,0.005715717667830647
40,0.00518481184675156,2.682854818617538,0.8867870998636057,0.001270805250733525,0.002104060298171011,0.003006363584467156,0.02810393447405814,0.9718960655259422,0.1,2.817320853100663,7.098562597804115,0.007161349608110678,0.08411654909312491,0.0004296975106422547,9.91155128985214,0.08844871014783665,0.0009314820085130981,0.1091105382596069,4.909901851623031,0.001819945216941761,0.9962680434437509,0.002800474547732159,0.02427244238775779,0.9953375907971038,1,0.007925860289543429,0.005379889371820438,0.007925860289543374,0.007925860289543429,0.004662409202896774,0.001138905822494409,0.006614096527405683
50,0.001888486722605446,2.764336036539846,0.9194016959869145,0.0005742559577489141,0.002168214194824289,0.003658298352311572,0.01313357907004771,0.9868664209299525,0.1,1.285781465021504,8.578936825206254,0.008832372729608179,0.1352817097704654,0.000584344678657728,9.88896647347768,0.1110335265223001,0.00135633639921317,0.2580752154470486,4.848697104425322,0.00608866476237039,0.9906518236368299,0.007991839963952991,0.04573314451426234,0.9979867468807522,1,0.004637598511148484,0.008514543691992097,0.004637598511148316,0.004637598511148484,0.002013253119248417,0.0006481640905545484,0.01021342182816883
60,0.0008092042459072527,2.748802079665791,0.9383747701391011,0.0004044326731031264,0.006015503482973835,0.01122024854051882,0.01287176459623209,0.987128235403768,0.1,0.3300468323657349,9.471392915064447,0.01000860259978435,0.1985602525681766,0.0007409297046254458,9.871205452165967,0.1287945478340152,0.001820678975206772,0.9035321716965367,4.737575499429142,0.02874245137221218,0.965619133074181,0.03256018795060932,0.140008772257063,0.9989590613264944,1,0.008121341833563687,0.02201009076333666,0.008121341833563611,0.008121341833563687,0.001040938673506383,0.001092836782990555,0.02564624059419997
70,0.0005799492619214839,2.524948833009409,0.9258054955819214,0.0008575836990142642,0.02048039663729991,0.03593294515954116,0.03517734056030088,0.9648226594396991,0.1,0.1270462077634423,9.62508894680432,0.01038431568549045,0.2478648454301034,0.000843863818661213,9.863776459298991,0.1362235407009926,0.002178082715150082,2.203880320668425,4.563679633767856,0.07719299641021013,0.8895813394267778,0.1082405778580682,0.3987036067622475,0.9987180055659369,1,0.0274037915822664,0.06761861635059603,0.02740379158226638,0.0274037915822664,0.001281994434063748,0.003679540655692933,0.07868428473977376
80,0.001151947866837776,2.094361958234199,0.854957150523847,0.002395446007471288,0.0433958831406165,0.07012048591910956,0.09257119621178224,0.9074288037882179,0.1,0.07678315079299772,9.641247646563924,0.01048772035771894,0.2819692026409351,0.0009063884997275785,9.861721025549057,0.1382789744509251,0.002317857441706752,3.620794466339351,4.375621724876239,0.1288526671765073,0.7873499831933537,0.210332159364935,0.7420882982336797,0.9966205470355107,1,0.06738973388722477,0.1434140081696571,0.06738973388722476,0.06738973388722477,0.00337945296449008,0.009176469301865097,0.1699595951869889
90,0.00272781098009367,1.637761680277683,0.7379011205043895,0.004725078374583672,0.06705466819249471,0.1023637953023481,0.1660584111530043,0.8339415888469961,0.1,0.05475962619748877,9.641610171284071,0.0105274842079428,0.3036302025165326,0.0009407986447255602,9.861023856898964,0.1389761431010141,0.002280786716042029,5.073012493947351,4.20888514373213,0.1792274809224183,0.6926836258155133,0.3050355874684401,1.110119458920567,0.9925372447446952,1,0.1159199104717955,0.2318213414352534,0.1159199104717955,0.1159199104717955,0.007462755255305733,0.01592954390149844,0.2788459824268202
