Time,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,T315,p_473S_Akt,p_mTOR
0,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0.6,0,0
10,4.083472071429209e-05,7.184228813916449e-05,0.1,8.114060801386286,1.875679121574286,0.001193808650663205,0.01026007703936693,5.579343128558671e-05,9.988896368650195,0.01110363134980145,5.118612396791701e-05,0.02137651602364293,4.989319187708131,0.0001384373279806718,0.9997734955067997,0.000175318369179646,0.6,3.900635477502836e-05,5.023113781899004e-06
20,0.0001448795589522601,0.0002278693376918583,0.1,6.263372645719604,3.710391270911199,0.002625495634272542,0.02623608336899692,0.0001342936950556396,9.970332024242563,0.02966797575743307,0.0002051726686309348,0.03541992503336706,4.972605902754209,0.0003190643000520919,0.9992953441183404,0.0004994832129503468,0.6,0.0001926513327409721,2.584805058926771e-05
30,0.000342879726463911,0.0005242539261648441,0.1,4.465049578133907,5.484893993700241,0.004054131696605466,0.05005642816410502,0.0002242103481545622,9.951279208649623,0.04872079135037204,0.0004297594142672229,0.05998250868767962,4.947370516534768,0.0007350337843123446,0.9983861888314032,0.001184051754252404,0.6,0.0005043092770367862,6.835288155387495e-05
40,0.0007580929262675341,0.001165237767881964,0.1,2.736762877876442,7.177641013004033,0.00544025377940094,0.08559610911648864,0.0003271478832198448,9.932728617955227,0.06727138204476658,0.0007070935965629404,0.11289452620057,4.908573120355405,0.001909156994274292,0.9964055343494652,0.00288737205389541,0.6,0.001130167641826471,0.0001534029086354319
50,0.001939484996153638,0.003110630383510325,0.1,1.171021968046186,8.690111079352095,0.006721949715012844,0.1388669525985488,0.000447025884788845,9.91530473139389,0.08469526860610384,0.001033793402142931,0.2828156625334038,4.844137144808219,0.006852046455588082,0.9903031697471549,0.008663036850625899,0.6,0.002710716600314608,0.0003658234880091984
60,0.007395648103401325,0.01252220410301486,0.1,0.2764875443877772,9.520956238785701,0.007570682340498943,0.2025562168233213,0.0005644456298537586,9.90206531738181,0.09793468261818424,0.001387745446755283,1.047865000474214,4.723494972175176,0.03398804077386422,0.9606036754022137,0.03800857915095479,0.6,0.009058315776439138,0.001205937149642524
70,0.02568278302673973,0.0401966936098852,0.1,0.1121308826643447,9.637489542906463,0.007814663517972201,0.2503795744259334,0.0006383687950720408,9.897039768110115,0.1029602318898818,0.001643636028430454,2.452507239693073,4.538682500792364,0.08627477805109625,0.8759752220645499,0.1223811419069438,0.6,0.03440700594704954,0.004619855345139203
80,0.05189524541496535,0.07585459871311666,0.1,0.06900230704933681,9.647787832775181,0.007882148697487488,0.2832098601719975,0.0006828872820729583,9.895688849133128,0.1043111508668797,0.001728751351091396,3.962690431396236,4.344211560290481,0.1408254899330525,0.7689297976777734,0.2293414509710596,0.6,0.0819255747849679,0.01117172941404466
90,0.07672212957813938,0.1081769570697073,0.1,0.04944891319170234,9.646768490220213,0.007908650155174784,0.3037825965844834,0.000706627987202459,9.895223712307137,0.1047762876928696,0.001683787162479039,5.526598735910963,4.173723324907294,0.1943411420262336,0.6725536915055073,0.3257625213319379,0.6,0.1349304989508289,0.0185672150218242
100,0.09690490226047502,0.1340500560483444,0.1,0.03830503583015619,9.646440573887206,0.007921819341332105,0.3152543902791312,0.0007158625645078429,9.895010219925474,0.1049897800745333,0.001571732453734984,7.137543194605525,4.03302052582529,0.2465833785052582,0.5955741571743818,0.4028541103718077,0.6,0.1815807197730204,0.02510970952253538
110,0.112630920473314,0.1541690413195975,0.1,0.03114873435974934,9.64837141350535,0.007929139319179893,0.320479852131403,0.000715864317468215,9.894895732466264,0.1051042675337441,0.001437986868733447,8.783896581440393,3.916966577511472,0.2975565890536563,0.53571888301418,0.4628431301170106,0.6,0.2189532715731596,0.03036020218487907
120,0.1249635347163334,0.170001100284323,0.1,0.02619027038487984,9.652161014634981,0.007933506762622916,0.3216487149768226,0.0007104297833271075,9.89482900901309,0.1051709909869189,0.001306469390439995,10.45417137605125,3.818956218276404,0.3472685478595878,0.4885839108961448,0.5101096197133412,0.6,0.2482575577290493,0.03447730051631231
130,0.134857557364663,0.182760845520243,0.1,0.02257078586833281,9.657133250331665,0.007936290481059616,0.3202959637966061,0.0007020068268677983,9.894787384343596,0.1052126156564105,0.001186972928409638,12.13966651363001,3.733846485123037,0.3957199830956971,0.4505644388416652,0.5482485882298515,0.6,0.271508130770934,0.03774176724904966
140,0.1429845365036443,0.1932842351115036,0.1,0.01981948689475603,9.662738351336724,0.007938186310394812,0.3174421617650083,0.0006920824454764572,9.894759619876933,0.1052403801230758,0.00108208296064368,13.83432652662931,3.658138771476356,0.4429133293482498,0.4191863450336514,0.5797315720056314,0.6,0.2903657903858871,0.04038743426269045
150,0.1497931999463187,0.2021291571952865,0.1,0.01766192797887844,9.668594714351086,0.007939558334348172,0.3137433576664631,0.0006815318356048535,9.894739891823779,0.10526010817623,0.0009912920514327979,15.5339601275829,3.589516114347897,0.4888571427180515,0.3927981465660254,0.6062105613824679,0.6,0.305993088393268,0.0425784302140029
160,0.1555878666550312,0.2096764225374025,0.1,0.01592757988430745,9.674462419556903,0.007940603433344517,0.3096100005553018,0.0006708559349349662,9.894725090027714,0.1052749099722922,0.0009129969754684961,17.23558520525712,3.526423591968585,0.5335667031803253,0.370271151636531,0.6288158513879265,0.6,0.3191768263135363,0.04442582946904103
170,0.1605831553530822,0.2161964504814116,0.1,0.01450439636577398,9.680201589998891,0.007941433344147972,0.3052940136318822,0.0006603334326732296,9.894713476901416,0.10528652309859,0.0008453782084655473,18.93700031731887,3.467785490705468,0.577063068231313,0.3508029059984294,0.648351715793031,0.6,0.3304614901203176,0.04600641900225376
180,0.1649356705357823,0.2218877380198422,0.1,0.01331701804794077,9.68573680459332,0.00794211405847548,0.3009461773552464,0.0006501107910976581,9.894704036572527,0.1052959634274784,0.000786735341092114,20.63653187094786,3.412835498399849,0.6193719984943988,0.3338037850381932,0.6654094796206407,0.6,0.3402366055746037,0.04737507126747441
190,0.16876276996977,0.2268997373509732,0.1,0.01231160972673485,9.691034125775698,0.007942686804052072,0.2966542644942679,0.0006402576109390486,9.894696152666292,0.1053038473337157,0.0007355963251647421,22.3328762698558,3.361012208255779,0.6605227458211335,0.3188294761774819,0.6804349274972793,0.6,0.3487892832529938,0.04857219304200162
200,0.172154578577643,0.2313476825022217,0.1,0.01144976316913847,9.69608427125889,0.007943178409173229,0.2924659655687608,0.0006307977646366307,9.89468942182882,0.1053105781711873,0.0006907296768934097,24.02499877792953,3.311893255981769,0.7005471558550652,0.3055371751645337,0.6937720951584988,0.6,0.3563368841994504,0.04962834939172447
210,0.1751815574264374,0.2353219230908576,0.1,0.0107030425030569,9.700891121585254,0.007943606568467714,0.2884058359085255,0.0006217310385372594,9.894683583658908,0.105316416341097,0.0006511210826083797,25.71206536606998,3.265151885489876,0.7394785106238758,0.2936579630550468,0.7056909158622716,0.6,0.3630475981409214,0.05056717652562012
220,0.1778995158696909,0.2388942519123745,0.1,0.01005033011400924,9.705465477853133,0.007943983923415446,0.2844841920295925,0.0006130442888936502,9.894678455676463,0.1053215443235433,0.000615943515699029,27.39339725419409,3.220529822410562,0.7773509685875786,0.2829780273110309,0.7164060291732001,0.6,0.3690533582276049,0.05140720480674967
