Time,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,p_473S_Akt,p_mTOR
0,0,0.5,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0
10,0.0001324818933941576,0.5,8.195530049329843,1.794689283084414,0.005755999179223317,0.009780667585726493,0.0002689786939126399,9.946299772243428,0.05370022775657318,0.0002491604013779003,0.02090976070168208,4.989395376068091,0.000133597420515758,0.9995786197684948,0.0001722198296266231,0.0001262580774258418,1.625741275008129e-05
20,0.0004630379459963501,0.5,6.575761395659279,3.400613842418413,0.01223161116604455,0.02362476192223824,0.0006229853671936075,9.861971455602513,0.138028544397491,0.0009689331401439615,0.03252999425396314,4.974041463744568,0.0002801855637938001,0.9985693965979893,0.0004616702613432604,0.0006242901488602782,8.386799512620048e-05
30,0.000957509156512819,0.5,5.133667266747207,4.824267452108765,0.01825063489956031,0.042065281143644,0.0009965736467368624,9.782196899038837,0.2178031009611643,0.001960234404858715,0.04895369118352774,4.95346354268055,0.0005443751298374623,0.9970697726009689,0.0009699929936482098,0.001485407872942903,0.0002022732602651064
40,0.001636210994005268,0.5,3.85369394192595,6.080343991025132,0.02370315847009832,0.06596206704893384,0.001383900693202136,9.710648545904375,0.2893514540956277,0.003096976019985789,0.07363995694862317,4.926628388698671,0.001037191080688504,0.9950115475216961,0.001891476457793608,0.002705715229785379,0.0003705182419893711
50,0.002614657446791168,0.5,2.726175531827005,7.177406743971617,0.02858724518333502,0.09641772420148283,0.001788082487212155,9.64725969250024,0.352740307499755,0.004321504146707249,0.1141036240846603,4.891811651817253,0.002017866139823154,0.9920353246459663,0.003643171206800808,0.004426391509929677,0.0006073671922707686
60,0.004213514557881993,0.5,1.754176753049473,8.111264249879863,0.03287621828419721,0.1345589970706757,0.002213245298925872,9.591921330314989,0.4080786696850056,0.005611511525640295,0.189147564211009,4.846199353883486,0.004175502584916634,0.9871470988382088,0.007241389635622925,0.007091301924048918,0.0009726401120737247
70,0.007320982485596283,0.5,0.9745598910467588,8.845287923391091,0.03642758408789466,0.1801521855620553,0.002652723376206498,9.545626528218303,0.454373471781688,0.00694433957078818,0.3504595958534528,4.785278386855014,0.009507763688153979,0.9775910594816399,0.01546460094704224,0.01192775472621945,0.001631728982891891
80,0.01416312788723048,0.5,0.4775368491067487,9.294932452718685,0.03888029590541087,0.2275306981744128,0.00306099604582244,9.511830694673622,0.4881693053263716,0.008228231430491633,0.7046419251647422,4.703615420908233,0.0223274885486779,0.9565346036773668,0.03523716489160853,0.02219804319091412,0.003026520598296155
90,0.02720884837499377,0.5,0.2588243479743528,9.474062422859722,0.0401160967514214,0.2671132291654643,0.003373215465816733,9.493189777754926,0.5068102222450663,0.009246239862095721,1.275613806283074,4.60249487451396,0.04378918188283499,0.9167705010282604,0.07398325910911195,0.04319583635248461,0.005894837677900985
100,0.04507848145796813,0.5,0.1682746121214017,9.535854348379633,0.04066125812724757,0.295871039498076,0.003583998514516162,9.484794428516853,0.5152055714831375,0.009822351015395444,1.95113957703703,4.494225528671051,0.06917591836759779,0.8628564850514067,0.1273211639326667,0.07582187407391953,0.0103969323982311
110,0.06434147087704324,0.5,0.1226364577824744,9.56225981301152,0.04092962208396528,0.3151037292052575,0.003714329424537221,9.480837204466845,0.5191627955331451,0.009963015883075748,2.674825200192024,4.390435902137686,0.09581429813946565,0.8050682589071243,0.1849687252092686,0.1146193714061986,0.01578940697773232
120,0.0827383256612832,0.5,0.09559097960692318,9.577435705133647,0.04108222540802054,0.326973315258688,0.003784690367705131,9.478686292455277,0.5213137075447106,0.009779868040081831,3.432834249773928,4.29634092670136,0.1229277541784369,0.7500266865064673,0.2401934454529197,0.1538630227170169,0.02126546533263608
130,0.0993716253137782,0.5,0.07782389589902662,9.588624075536124,0.04117821697609902,0.3335520285595752,0.003812903471375211,9.477372614753929,0.5226273852460614,0.00939852221072239,4.219386649074509,4.212710166396559,0.150243359808752,0.7003184582376377,0.2902830195511083,0.1903906168040745,0.02637234510827899
140,0.1140925235919201,0.5,0.06533448771366823,9.598150329511748,0.04124260731765907,0.3365151827674461,0.003813151237637172,9.476507523350314,0.5234924766496766,0.008918303378099098,5.029784295467971,4.138395076660548,0.1776185477236194,0.656341958391068,0.3347397382302999,0.2231207179566634,0.0309520069740335
150,0.1270533051480139,0.5,0.05612229856451303,9.606776037207396,0.0412878493322351,0.3371016642228097,0.003795814971826865,9.475907760077455,0.5240922399225357,0.00840530264988989,5.85978933507421,4.071771724788766,0.2049551701034585,0.6176243740886985,0.3739703232608776,0.2520401315618407,0.0349994272692697
160,0.1384860106125964,0.5,0.04907860668311225,9.614745307645551,0.04132086266806189,0.3361760856682767,0.003768005556893215,9.475474817933897,0.5245251820660948,0.007898520232313801,6.705762245459005,4.011345276394886,0.2321779509335662,0.5834673185557712,0.4086341612113768,0.2775347869531265,0.03856742229812973
170,0.1486171550964435,0.5,0.04353379674661123,9.622146472198477,0.04134577148282451,0.3343197310515689,0.003734373422685616,9.475151327153393,0.524848672846596,0.007418445782642961,7.564672881765779,3.955912491029063,0.2592270944892445,0.5531936899946688,0.4393878642221486,0.3000762151193122,0.04172167146623791
180,0.1576424968414045,0.5,0.03907091063536227,9.629017070974839,0.04136512185383941,0.3319120183876054,0.003697847140421141,9.474902062412964,0.5250979375870255,0.006974153729197132,8.434040390088345,3.904554430889534,0.2860552831396997,0.5262195795584762,0.4668062667117862,0.3201023435276612,0.04452346959181718
190,0.1657249134091956,0.5,0.03540702517835129,9.635396706970017,0.04138055702001577,0.3291962678500741,0.003660220574976596,9.474704724607806,0.525295275392182,0.006568188480363484,9.311815046246245,3.856577975665929,0.3126250124941751,0.502059476585716,0.4913723349333799,0.337986898541025,0.04702521069982001
200,0.1729987339362305,0.5,0.03235275585299074,9.641321571135137,0.04139314432122879,0.3263256730126551,0.003622556380580296,9.474544796783455,0.525455203216535,0.006199619688092396,10.19630098272715,3.811457708157082,0.3389070392025705,0.4803129767511134,0.5134874035602532,0.3540402511050451,0.04927042633004133
210,0.1795749766031228,0.5,0.02977186264020808,9.646832997193012,0.04140360218163362,0.3233951401686396,0.003585459271675139,9.474412548524993,0.5255874514749966,0.005865850183251428,11.08607500342003,3.768789844986333,0.3648786647603548,0.4606491091841511,0.5334850406320565,0.3685188269212628,0.05129508145822332
220,0.1855459342503923,0.5,0.02756237152982112,9.651974992070043,0.04141244466411722,0.3204626364017859,0.003549257692331191,9.474301285602339,0.525698714397651,0.005563635900027101,11.97993068279771,3.728258139054484,0.3905226489514675,0.4427926820974291,0.5516436820020026,0.3816352585824342,0.05312899423470797
230,0.190988780215346,0.5,0.02565440877851382,9.656782821166548,0.04142001611394077,0.3175627700564276,0.003514109819209315,9.47420633436313,0.5257936656368584,0.005289628642823742,12.87684639559616,3.689610467236931,0.4158261768468534,0.4265135239569458,0.5681968473996892,0.3935667248363712,0.05479700581090097
240,0.1959689209968336,0.5,0.02398970005201708,9.661294685086601,0.04142658050352004,0.3147156148627942,0.003480075100913429,9.474124287443711,0.5258757125562756,0.005040618893432612,13.77593250749156,3.652641156630937,0.440779735994659,0.4116165825868949,0.583342798519128,0.4044631009885611,0.0563201265397384
250,0.2005408743532968,0.5,0.02252647175074272,9.665541696893774,0.0414323262266874,0.3119318313560203,0.003447154728042114,9.474052659594816,0.5259473404051702,0.004813716164515202,14.67642912030605,3.617183355662604,0.4653768204046306,0.3979391621495565,0.597247121685326,0.4144492211208994,0.05771585617476713
260,0.2047509938765869,0.5,0.02123104796364006,9.669552430965901,0.04143739908368593,0.3092165210701812,0.003415321712699286,9.473989579097283,0.5260104209027051,0.004606414128008118,15.57768867943877,3.583097283358915,0.4896136971452533,0.3853428232858963,0.6100507625854318,0.4236291127811903,0.05899875938899676
270,0.208639813499375,0.5,0.0200767708203347,9.673351646605623,0.04144191258004473,0.3065715825730998,0.003384531576866297,9.473933569561432,0.5260664304385573,0.00441644611355953,16.47913407794072,3.550262432540163,0.5134881115751863,0.3737066582646212,0.6218768956211012,0.4320948560301625,0.0601817373159701
280,0.2122419006817341,0.5,0.0190421980435749,9.67696098980206,0.04144595507583595,0.3039968121528428,0.003354732171367659,9.473883494864603,0.5261165051353894,0.004241837467185081,17.3802602061121,3.518576581504913,0.5369993656151638,0.362927491443985,0.6328306710880648,0.4399249757783155,0.06127579235951173
290,0.2155870530969039,0.5,0.01811015585756279,9.680398962717724,0.04144959611998662,0.3014908814230434,0.003325870001558735,9.473838464036346,0.5261615359636462,0.004080878297351559,18.28062295997821,3.487951578280609,0.5601480204940225,0.352916350198962,0.6430027715028922,0.4471867963003532,0.06229035441168538
300,0.2187011660269254,0.5,0.01726684886094163,9.68368152380849,0.04145289190440527,0.2990516273289849,0.003297891642743397,9.47379774891424,0.5262022510857518,0.003932088088915953,19.17983038793897,3.458310766252295,0.5829356510271038,0.3435959362507583,0.6524719756595276,0.4539385532607746,0.06323357778859025
310,0.2216069916131716,0.5,0.01649955218435525,9.686823861077835,0.04145589178924567,0.2966765867362302,0.003270747138816301,9.473760748934188,0.5262392510658039,0.003794181569248193,20.07753386591972,3.429586180282484,0.6053647357581489,0.3348982499152379,0.6613075685146991,0.4602310444479839,0.06411257236904384
320,0.2243238491359391,0.5,0.01579898117002695,9.689837766940897,0.04145863201253608,0.2943632518875694,0.003244389544430509,9.473726994529923,0.5262730054700683,0.003666055929957276,20.97342953715132,3.401719604206169,0.6274383602419329,0.3267656058795712,0.669568338189652,0.4661079441318364,0.06493345562077052
330,0.2268695759745982,0.5,0.01515771338549707,9.6927332891738,0.04146114401289736,0.2921089974393003,0.003218774934147135,9.473696067541285,0.5263039324587042,0.003546730466162782,21.86724175303652,3.374656672969294,0.6491602686190507,0.3191447139615151,0.6773085555715034,0.4716084555169483,0.06570170887297158
340,0.2292595348284382,0.5,0.0145678342479501,9.69552076010225,0.04146345625927539,0.2899114056494285,0.003193862903659427,9.473667634666654,0.526332365333336,0.00343533166331432,22.75871985616078,3.348350100924883,0.6705343561959697,0.3119897256749279,0.6845749426609421,0.4767676438139944,0.06642224657099748
350,0.2315071545791711,0.5,0.01402383673153809,9.698208198782712,0.04146559065791912,0.28776796448549,0.003169615848111869,9.473641408746145,0.526358591253846,0.003331116868628582,23.64764449480171,3.322757786158346,0.6915651066430529,0.3052604731361153,0.6914084099944431,0.4816152256155959,0.06709922581170229
360,0.2336245159082556,0.5,0.01352064553262761,9.700802938965316,0.04146756685799966,0.2856764155018245,0.003146000300184386,9.473617147377384,0.5263828526226046,0.003233432375366772,24.53381853267861,3.29784119924781,0.7122572411434427,0.2989208561944123,0.6978457114294098,0.4861778439787295,0.06773637257330782
370,0.2356223906634946,0.5,0.0130539109504421,9.703311504848266,0.0414694017752277,0.2836345842010626,0.003122985093740589,9.473594638156404,0.5264053618435867,0.003141697524079,25.41706475077413,3.273565407170278,0.7326157056343098,0.2929386821005486,0.7039196203745631,0.4904794044979319,0.06833703145195513
380,0.2375104044017195,0.5,0.01262000358742796,9.705739262014744,0.04147110905470799,0.2816407344001808,0.00310054331833785,9.4735737107113,0.526426289288689,0.003055397192398606,26.29722395630177,3.249898337909988,0.7526455640648788,0.2872851796975264,0.7096594231092672,0.4945412265177658,0.06890418483454445
390,0.2392971896714023,0.5,0.01221547526869914,9.708092487214977,0.04147270371211872,0.2796920375177027,0.003078643218981181,9.473554170685803,0.5264458293141844,0.00297407155552971,27.17415222213829,3.226811651711765,0.7723522143472659,0.2819345467986574,0.715091381645006,0.4983823972925676,0.06944050254821534
400,0.2409905138332777,0.5,0.01183779114994529,9.710374933798395,0.04147419387133253,0.2777872750512915,0.003057263391041037,9.473535919081408,0.5264640809185801,0.00289731019531369,28.04772062458677,3.20427816476114,0.7917408546330481,0.2768635578374138,0.7202391319664661,0.50202005510527,0.06994838152702686
410,0.2425973596041559,0.5,0.01148385085477596,9.712591084898794,0.04147559079364591,0.27592506424572,0.003036383698958566,9.473518833881499,0.5264811661184877,0.002824748294623918,28.91781197098085,3.18227303815263,0.8108168562892807,0.2720513423871376,0.7251239093174321,0.5054696234387924,0.07042997897177024
420,0.2441240590712002,0.5,0.01115224855482832,9.714744438172833,0.0414769020296389,0.2741033132706183,0.003015979652690179,9.473502790518046,0.5264972094819421,0.002756057305979934,29.78432160176751,3.160773917339489,0.8295857530024273,0.2674789632645739,0.7297649794286404,0.5087450199531506,0.07088724090827613
430,0.2455762673682625,0.5,0.01084072034010661,9.716838441539183,0.04147813497840638,0.2723208381184739,0.002996033990207226,9.473487712239542,0.5265122877604446,0.002690947648852298,30.64715633416479,3.139759695014714,0.8480529376545251,0.263129504776459,0.7341795475738845,0.5118586318464273,0.07132189897513598
440,0.2469592907005278,0.5,0.01054716931442544,9.718876663507082,0.0414792976519916,0.2705761671761655,0.002976528513041115,9.473473511849635,0.5265264881503522,0.002629147738387056,31.50622902529873,3.119210569560094,0.8662238278591193,0.2589870931066277,0.7383837591541811,0.5148220959272172,0.07173558005145587
450,0.2482779319662048,0.5,0.01027005268633356,9.720862398012827,0.04148039652752208,0.2688675492974635,0.002957443415758267,9.473460100034895,0.5265398999650913,0.002570410106582861,32.36146097376788,3.099108540925456,0.88410385215319,0.2550373857888936,0.7423922041037149,0.5176460269566154,0.07212976875643802
460,0.2495363360151882,0.5,0.01000887761010574,9.722796941108703,0.04148143357472278,0.2671941812772862,0.002938764774001529,9.473447434521171,0.5265525654788153,0.002514520488989477,33.21278424413168,3.079436681377288,0.901698372688703,0.2512680001137018,0.7462174793964977,0.520339663199178,0.07250575793783977
470,0.2507384929713193,0.5,0.009761831582344472,9.7246833806916,0.04148241521733977,0.2655547877218558,0.002920477738891816,9.473435451865541,0.5265645481344481,0.00246127988518421,34.06013482272815,3.060178998542874,0.9190127099442859,0.2476669739439892,0.7498717461700145,0.5229116332786676,0.07286475292662409
480,0.251888069777121,0.5,0.009527625904630415,9.72652415865176,0.04148334633333962,0.2639482154384281,0.002902568309731371,9.473424096392021,0.526575903607967,0.002410505920221673,34.90345485337717,3.041320407277513,0.936052140340168,0.2442233313607184,0.7533661627182412,0.5253699004382661,0.07320786632435804
490,0.2529883313746703,0.5,0.009305635357283792,9.72832094951335,0.04148422996850081,0.2623734151209431,0.002885023288120952,9.473413320408474,0.5265866795915142,0.002362036943811642,35.74269460123966,3.022847031719704,0.9528218575216058,0.2409273276413488,0.7567106354139936,0.5277216070048071,0.07353609636366873
500,0.2540423100818816,0.5,0.009094657821437698,9.730076220574881,0.04148507046975326,0.2608291215940807,0.002867828982667686,9.47340307666707,0.5265969233329181,0.002315724000478645,36.57780879312364,3.004745823099161,0.9693270999069676,0.2377698735728139,0.7599144024258329,0.5299733442054566,0.07385036407073783
510,0.2550528146942443,0.5,0.008894149728265913,9.731791266845292,0.04148587006052935,0.2593145834154048,0.002850974683794564,9.473393332310152,0.5266066676898358,0.002271428438753571,37.40875679379407,2.987004138334867,0.9855728777815573,0.2347425742041783,0.7629859973561628,0.5321312646955149,0.07415152950962407
520,0.2560224504202397,0.5,0.008703367322473454,9.733467755701929,0.04148663158829536,0.2578288769627185,0.002834449202282313,9.473384052604493,0.5266159473954944,0.00222902211508497,38.23550181573715,2.969610122952724,1.001564188201944,0.2318376373062571,0.7659333405777232,0.5342010619577556,0.07444038846413419
530,0.2569535877365964,0.5,0.00852121579457691,9.735107997411697,0.04148735907190942,0.2563707867818263,0.002818240364726984,9.473375197371769,0.5266248026282168,0.002188389117122234,39.05801146622402,2.952552911905613,1.01730602411593,0.2290479631565199,0.7687636477253991,0.5361878842264269,0.07471766025410154
540,0.2578483860961009,0.5,0.00834801250031815,9.736711585645526,0.04148805162108907,0.2549404018394354,0.002802343010050023,9.473366758792229,0.5266332412077559,0.002149425297263071,39.87625902503072,2.935821308997785,1.03280304327747,0.2263670971097375,0.7714834775920153,0.5380964466212654,0.07498400385266621
550,0.25870893104524,0.5,0.008182461459040669,9.738281113396678,0.04148871388705096,0.2535364251256791,0.002786745343184737,9.47335869594025,0.5266413040597365,0.002112030490616717,40.69021817531572,2.919405529522009,1.048060091457647,0.2237887914284516,0.7740991780799288,0.539931251099151,0.07524004803017724
560,0.2595371330158967,0.5,0.008023683820877292,9.739818696286363,0.04148934928672706,0.2521576198719283,0.002771435766851162,9.473350973239677,0.5266490267603102,0.002076112224172036,41.49986633259479,2.903296369515624,1.063081904245085,0.2213073293764019,0.7766165583984166,0.5416964463308613,0.0754863724136761
570,0.2603346845781587,0.5,0.007871937458227667,9.741324929613855,0.04148995769020719,0.250803132907791,0.002756404055019762,9.473343571747419,0.5266564282525678,0.002041586155044961,42.30518575778641,2.887485099670415,1.077873025712229,0.2189176623233244,0.7790407515206232,0.5433957821527634,0.07572350151898015
580,0.2611031777448494,0.5,0.007726909957638996,9.7428000649999,0.04149053943505871,0.2494730250225221,0.002741646368229677,9.473336490310839,0.5266635096891488,0.00200837745343168,43.10616081273528,2.871962349958158,1.092437990236882,0.2166150115640132,0.7813766109815395,0.5450326934466724,0.07595191512007654
590,0.2618442040576335,0.5,0.007587964543945087,9.744245361148813,0.04149109694212859,0.2481666742867772,0.002727155702538501,9.473329706754599,0.5266702932453878,0.001976412470699592,43.90277720787919,2.856719731073643,1.106781044319847,0.2143946053604043,0.7836289821678699,0.546610558327802,0.07617208450415293
600,0.2625592245280997,0.5,0.007454473318309134,9.745662193647902,0.0414916327142101,0.2468833330123568,0.002712924422616373,9.473323196710842,0.526676803289144,0.001945623216753752,44.69502318328297,2.841749401945752,1.120906412146088,0.2122520715030885,0.7858023052791271,0.5481325081297089,0.07638444677322925
610,0.2632494916938918,0.5,0.00732616870026545,9.747051902886477,0.0414921482427335,0.2456219283920672,0.002698942198412466,9.47331693451574,0.5266830654842451,0.001915947348373556,45.48288980925362,2.827044292123551,1.134818527135942,0.2101836898265501,0.7879003628240465,0.5496013846436669,0.07658939995157338
620,0.2639162201596441,0.5,0.007203021556645128,9.748414902599785,0.04149264353637933,0.2443820758232956,0.002685203054519523,9.473310914703879,0.5266890852961063,0.001887327723785823,46.26637056402623,2.812597017898867,1.148521503108787,0.2081857998632661,0.7899268724119216,0.5510197838600345,0.07678730649107519
630,0.2645605688599556,0.5,0.007084686831130733,9.749752029907954,0.0414931197631632,0.2431632832419739,0.002671700918040172,9.473305125708803,0.5266948742911814,0.001859710020744283,47.04545980068389,2.798400556425402,1.16201939589018,0.2062549364552387,0.7918853535229909,0.5523902093664793,0.07697851604198697
