Time,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,p_473S_Akt,p_mTOR
0,0,0.8,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0
10,0.0001759390874290881,0.8,8.253560824879731,1.736999020676854,0.008964192606290961,0.009440154443390684,0.0004188742557692807,9.916170264794225,0.08382973520577276,0.0003907987940939762,0.02058244052395897,4.989449925799911,0.0001302247634740949,0.9994391792631334,0.0001700219430755201,0.0001637281229686034,2.100923313124882e-05
20,0.0006231464387320472,0.8,6.787337821896004,3.190775018057943,0.0185731278908262,0.02188716004607228,0.0009433281423057852,9.79048941729933,0.2095105827006634,0.001486561231177847,0.03071820011275361,4.974989024289484,0.000256466597773686,0.9980759790762008,0.0004374596928947453,0.000840991976770706,0.0001129849271283777
30,0.001240225376517084,0.8,5.565568137161376,4.397259113165419,0.02702412066976061,0.03717274967322998,0.00146412634957612,9.678607550783036,0.3213924492169618,0.002933991283573714,0.04319655322876022,4.957123410702022,0.0004510725101748709,0.9962113592355704,0.0008546494811291604,0.001953932361272837,0.0002664231888915643
40,0.001973337185184606,0.8,4.548300758647038,5.396516338512949,0.03425154611392712,0.05518290284002035,0.001966998807620178,9.584430169684808,0.415569830315186,0.004508479370218034,0.05863582301361653,4.936109335571111,0.0007422037118128379,0.9940014409311304,0.001490079698924161,0.00336138181225726,0.0004614027775961364
50,0.002814309232344751,0.8,3.70245991632151,6.221813113409975,0.04038103914021101,0.07572697026847723,0.002450159084591535,9.505889429786459,0.4941105702135373,0.00609905992372836,0.07784639862910928,4.912122250845998,0.001167669769416188,0.9914670499690493,0.002433890107494324,0.005003613703331061,0.0006892012935494709
60,0.003785062759793201,0.8,3.000712062415193,6.900781939172395,0.04555034582300498,0.09850599841235338,0.002914143517478121,9.440595063880616,0.5594049361193797,0.007655251186432317,0.1018867942450391,4.885342447964103,0.001777371773015668,0.9885399616675148,0.003804787146324882,0.006895121480584689,0.0009515440097286996
70,0.004928731250943602,0.8,2.420574261850603,7.456341395349012,0.04988452568249031,0.1230843428003944,0.003359089904745414,9.386481892549995,0.6135181074500035,0.00915420770051324,0.1321265874134669,4.856009978891511,0.002635531325840382,0.9850889429230604,0.005756849376698701,0.009103594230939923,0.001257653565755709
80,0.006305024731351079,0.8,1.943637702763094,7.907490172563088,0.05349274401004712,0.1488721246735132,0.003783664506220316,9.341835512663049,0.6581644873369454,0.01058267867490924,0.170311677158739,4.824454835125329,0.003822700510581711,0.9809333248161937,0.008483996509169409,0.01173623809279567,0.001622306145589674
90,0.007987194317246446,0.8,1.554820297074269,8.270052811812725,0.05646878969912354,0.1751268911129608,0.004184666305626506,9.305247058606888,0.6947529413931061,0.01192789200308663,0.2185047573792497,4.791108699255269,0.005431982135277517,0.9758522388096782,0.01221986918750598,0.0149321558773808,0.002064756531027032
100,0.01005581137671764,0.8,1.241647484319953,8.557363131989634,0.05889330687607815,0.2009893836905328,0.004557242999709124,9.275555282475818,0.7244447175241774,0.01317348715922537,0.2789385154677375,4.756495780308954,0.007561316106832337,0.9696037231065691,0.01722278973447583,0.01885246415453119,0.00260738788040441
110,0.01258673997982473,0.8,0.9933509874674242,8.781085406106062,0.06083777330379145,0.2255636064270524,0.004895654494583964,9.251780053897003,0.7482199461029949,0.01429901807036396,0.3535694464835477,4.721208748599414,0.01029349979041899,0.9619615093119775,0.02373947261792538,0.0236612579169237,0.003273115720575736
120,0.01563185417744709,0.8,0.799932704645821,8.952024932875451,0.06236978785478339,0.248042362481713,0.005194629271378949,9.233046534546794,0.7669534654532019,0.01528247341655837,0.4434643109806107,4.68586708025138,0.01366945316487337,0.9527735251697454,0.03194400141394907,0.02949263643665773,0.004080860318526422
130,0.01919750350139707,0.8,0.6515796011047741,9.080576661160574,0.06355702909173913,0.2678437377400615,0.005450871782094244,9.218521405581498,0.7814785944184947,0.01610500897236292,0.5483405006692024,4.651062229356624,0.01766921851574706,0.9420260573947963,0.04186893363307868,0.03640704370623095,0.005039478353402273
140,0.02323503802976333,0.8,0.5387561956747786,9.17654915595865,0.06446710008791201,0.2846946483730481,0.005664010012701864,9.20739217477122,0.7926078252287722,0.0167560998360527,0.6666794070342767,4.617293865933467,0.02221782998558349,0.9298703543049703,0.05337354585920634,0.04435876924259025,0.006143119675242986
150,0.02765193119466873,0.8,0.4528588026650168,9.248519551981769,0.06516314388591149,0.2986216453590804,0.005836521877325691,9.198899563955781,0.8011004360442125,0.01723653547612141,0.7963667279220443,4.584915202430508,0.02721385956936567,0.9165872292364147,0.06617623528769388,0.05319858163692103,0.007371403306357049
160,0.03233747947970279,0.8,0.3868106351852052,9.303325002051796,0.0656989442708986,0.3098643627696522,0.005972828500713715,9.192388329158899,0.8076116708410922,0.01755782168544218,0.9353720066091881,4.554111908313548,0.03256014419205754,0.9025092437761303,0.07993293453865633,0.06271360867229678,0.008694843003744752
170,0.03718668163117469,0.8,0.3352785660297389,9.345938627775526,0.06611651945297814,0.3187828061951043,0.006078322338931211,9.187338442505846,0.8126615574941455,0.01773924741734528,1.082112389062222,4.524908501562657,0.03818016857247224,0.8879497986694667,0.09431095391344502,0.07267839156698018,0.01008196864540393
180,0.04211600740906383,0.8,0.2943303316436421,9.379917058679457,0.06644710113729076,0.3257526096762454,0.006158282005105304,9.183364119038659,0.8166358809613334,0.01780338650009543,1.235393813626046,4.497230171933252,0.04401628195423302,0.8731573455690832,0.1090392679310799,0.08289753788540748,0.01150535737041593
190,0.04706307246868274,0.8,0.261282576932907,9.407572244445333,0.06671289439850063,0.3311451786161318,0.006217724516057646,9.180183813982016,0.8198161860179755,0.01777304614064133,1.394489783034653,4.470918085976642,0.05003557770850861,0.8583165668176654,0.1239103870419706,0.09321869742344792,0.01294357500768258
200,0.05198698677296874,0.8,0.234143715231328,9.430599415999314,0.06693009696884843,0.3352568687751928,0.006260550617785696,9.177597819745326,0.8224021802546653,0.01766854755480929,1.558817735192442,4.445833832452348,0.05619800852360458,0.8435492603688958,0.1387821920765231,0.1035355539183143,0.01438160440236253
210,0.05685623329098585,0.8,0.2115404999652339,9.450011021691285,0.06711009499562524,0.3384484783102535,0.006291503461726483,9.175465490420045,0.8245345095799466,0.01750888424569221,1.72797598353094,4.421685601339648,0.06252098032704773,0.8289465634396063,0.1535445523150869,0.1137687913366644,0.01580827884768852
220,0.06166033359746039,0.8,0.1924714641774482,9.466764187388012,0.06726122331863052,0.3407643484041727,0.006311225731209233,9.173680571355259,0.8263194286447388,0.01730698968224258,1.901711659214441,4.398533512958821,0.06893352029876962,0.8145426073940545,0.1681504029240775,0.1238817048419256,0.01721832166415587
230,0.06638227114020709,0.8,0.176202625212123,9.48132631127163,0.06738957142240012,0.3424710634856605,0.006323249579213509,9.172170393951388,0.8278296060486106,0.01707442935743808,2.07977279378105,4.376120275994203,0.07547071713393011,0.8003853061933441,0.1825402644495887,0.1338373797811685,0.01860659249156595
